,Authors,Link,Title,Strategy,Tickers,Opening Price,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51
83, ALT Perspective,/article/4042018-apple-india-story-says,Apple: The India Story Says It All,Long,AAPL,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002
84, Orange Peel Investments,/article/4041889-apple-shareholder-bonus-check-year,Apple: Shareholder 'Bonus Check' This Year?,Long,AAPL,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002
85, Taylor Dart,/article/4041766-apple-taking-profits-yet,Apple: Why I'm Not Taking Profits Yet,Long,AAPL,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002
86, Alex Cho,/article/4041620-apple-managed-build-wall-underneath-stock,Apple Managed To Build A Wall Underneath The Stock,Long,AAPL,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002
87, ChuckJones,/article/4040996-apples-music-major-contributor-services-revenue-growth,Apple's Music Is A Major Contributor To Services Revenue Growth,Long,AAPL,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002
88, Mark Hibben,/article/4040951-apples-december-quarter-expect-expected,Apple's December Quarter: Expect The Expected,Long,AAPL,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002
89, Alex Cho,/article/4040682-apple-likely-beat-earnings-estimates-week,Apple Likely To Beat Earnings Estimates This Week,Long,AAPL,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002
90, Samadhi Partners,/article/4041075-apple-forgotten-think-different,Apple Has Forgotten How To 'Think Different',Short,AAPL,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002
172, Alex Cho,/article/4045215-apples-chinese-segment-will-come-back-next-quarter,Apple's Chinese Segment Will Come Back Next Quarter,Long,AAPL,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997
173, Bill Maurer,/article/4044927-apple-1000-iphone,"Apple: The $1,000 iPhone",Long,AAPL,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997
174, ALT Perspective,/article/4044858-apple-india-force-awakens,Apple In India: The Force Awakens,Long,AAPL,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997
175, Benjamin Black,/article/4044756-apple-one-hand-worth-two-bush,Apple: One In The Hand Is Worth Two In The Bush,Long,AAPL,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997
176, Alex Cho,/article/4044354-avoid-one-pothole-valuing-apple-shares,Avoid This One Pothole When Valuing Apple Shares,Long,AAPL,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997
177, Alex Cho,/article/4043908-apple-channel-inventory-analysis-suggests-upside-unit-shipments,Apple: Channel Inventory Analysis Suggests Upside For Unit Shipments,Long,AAPL,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997
178, Giovanni DiMauro,/article/4043844-warren-buffett-loves-apple-can-stock-hit-150,"Warren Buffett Loves Apple, Can The Stock Hit $150?",Long,AAPL,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997
179, Nikhil Gupta,/article/4043649-will-apple-watch-success,Will Apple Watch Be A Success?,Long,AAPL,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997
180, Jay Somaney,/article/4043037-reasons-apple-hot-manufacture-india,Reasons Why Apple Is Hot To Manufacture In India,Long,AAPL,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997
181, Mycroft Friedrich,/article/4043024-apple-knocked-worlds-valuable-brand-next,Apple Knocked Off As The World's Most Valuable Brand: What's Next?,Long,AAPL,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997
182, Alex Cho,/article/4042796-apples-next-quarter-likely-top-wall-street-estimates,Why Apple's Next Quarter Is Likely To Top Wall Street Estimates,Long,AAPL,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997
282, Gary Bourgeault,/article/4047387-get-excited-apple-manufacturing-india,Don't Get Too Excited About Apple Manufacturing In India,Long,AAPL,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997,130.28999299999998
283, Mark Hibben,/article/4046816-will-next-apple-watch-feature-lte,Will The Next Apple Watch Feature LTE?,Long,AAPL,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997,130.28999299999998
284, Bill Maurer,/article/4046802-apple-tough-race-1-trillion,Apple: The Tough Race To $1 Trillion,Long,AAPL,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997,130.28999299999998
285, Mark Hibben,/article/4046389-apple-oled-future-iphone,Apple: Is OLED The Future Of The iPhone?,Long,AAPL,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997,130.28999299999998
286, Giovanni DiMauro,/article/4046290-warren-buffett-quadrupled-position-apple,Why Warren Buffett Quadrupled His Position In Apple,Long,AAPL,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997,130.28999299999998
287, Nick Cox,/article/4046266-apple-continues-pivot-towards-asia,Apple Continues Its Pivot Towards Asia,Long,AAPL,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997,130.28999299999998
288, Bill Maurer,/article/4045748-apple-comes-next,Apple: What Comes Next?,Long,AAPL,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997,130.28999299999998
289, D.M. Martins Research,/article/4045458-will-apple-pay-growth-engine,Will Apple Pay Be A Growth Engine?,Long,AAPL,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997,130.28999299999998
290, Ray Merola,/article/4045456-apple-worth-150-share-valuation-analysis,Is Apple Worth $150 A Share? A Valuation Analysis,Long,AAPL,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997,130.28999299999998
291, Emerita Capital,/article/4045371-8-wonders-iphone-x-impact-apples-bottom-line,The 8 Wonders Of iPhone X And Its Impact On Apple's Bottom Line,Long,AAPL,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997,130.28999299999998
292, Jay Somaney,/article/4045357-apple-working-gst-issue-indian-government,Apple Working On GST Issue With Indian Government,Long,AAPL,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002,121.629997,130.28999299999998
