Authors,Link,Tickers,Time,Title,Strategy
" Dec. 27, 2017, 8:33 AM ",/article/4133887-carrols-restaurant-group-30-percent-downside-story-work-neither-numbers,Editors' Pick , TAST,"Carrols Restaurant Group Has 30%+ Downside: The Story Doesn't Work, And Neither Do The Numbers",Short
 Josh Arnold,/article/4133959-costco-going-lower-2018,COST," Dec. 26, 2017, 2:47 PM ",Here's Why Costco Is Going Lower In 2018,Short
 Bill Maurer,/article/4133934-tesla-2017-failure,TSLA," Dec. 26, 2017, 12:59 PM ",Tesla: 2017 Was A Failure,Short
 Bill Maurer,/article/4133927-blackberry-bearish,BB," Dec. 26, 2017, 11:50 AM ",BlackBerry: Why So Bearish?,Short
 Michael Boyd,/article/4133922-j-c-penney-shareholders-look-trapped,JCP," Dec. 26, 2017, 11:12 AM ",J.C. Penney: Shareholders Look Trapped,Short
 Montana Skeptic,/article/4133915-coverdrives-tesla-q4-preview-many-records,TSLA," Dec. 26, 2017, 10:36 AM ",CoverDrive's Tesla Q4 Preview: So Many Records!,Short
 Courage & Conviction Investing,/article/4133898-advance-auto-parts-turnaround,AAP," Dec. 26, 2017, 9:29 AM ",Advance Auto Parts: About That Turnaround,Short
 EnerTuition,/article/4133891-teslas-use-customer-deposits-support-operational-burn-bodes-ill-future-profitability,TSLA," Dec. 26, 2017, 9:05 AM ",Tesla's Use Of Customer Deposits To Support Operational Burn Bodes Ill For Future Profitability,Short
 Josh Arnold,/article/4133803-nike-going-back-50,NKE," Dec. 25, 2017, 11:58 AM ",Nike Is Going Back To $50,Short
" Dec. 23, 2017, 9:15 AM ",/article/4133442-m-deal-will-break-soon,Editors' Pick ," MLCTF, MLCTY",An M&A Deal That Will Break Soon,Short
 Montana Skeptic,/article/4133519-elon-musks-christmas-gifts-tesla-shorts,TSLA," Dec. 22, 2017, 1:39 PM ",Elon Musk's Christmas Gifts To Tesla Shorts,Short
" Dec. 22, 2017, 11:12 AM ",/article/4133266-scansource-last-years-short-case-still-holds,Editors' Pick , SCSC,ScanSource: Last Year's Short Case Still Holds,Short
 Vlad Deshkovich,/article/4133449-long-island-iced-tea-goes-long-blockchain,LBCC," Dec. 22, 2017, 9:48 AM ",Long Island Iced Tea Goes Long Blockchain,Short
 Prescience Point,/article/4133347-celadon-group-still-zero,CGI," Dec. 21, 2017, 3:43 PM ",Celadon Group: Still A Zero,Short
 Robert Kientz,/article/4133340-brainer-short-thesis-new-blockchain-company-plan,LBCC," Dec. 21, 2017, 3:26 PM ",A No-Brainer Short Thesis For New Blockchain Company With No Plan,Short
" Dec. 21, 2017, 2:36 PM ",/article/4133061-santander-mexico-plenty-fundamental-headwinds,Editors' Pick , BSMX,Santander Mexico: Plenty Of Fundamental Headwinds,Short
 Moneybadger,/article/4133304-sell-globant-globants-results-reveal-far-weaker-business-advertised,GLOB," Dec. 21, 2017, 12:56 PM ",Sell Globant: Globant's Results Reveal A Far Weaker Business Than Advertised,Short
 Josh Arnold,/article/4133278-nobody-understands-mcdonalds,MCD," Dec. 21, 2017, 11:54 AM ",Nobody Understands McDonald's,Short
 Henrik Alex,/article/4133268-new-partner-tzero-values-siebert-5-per-share,SIEB," Dec. 21, 2017, 11:18 AM ",New Partner tZERO Values Siebert At $5 Per Share,Short
 Donn Bailey,/article/4133255-teslas-model-x-upcoming-y-face-new-competition-2018,TSLA," Dec. 21, 2017, 10:34 AM ",Tesla's Model X And Upcoming Y Face New Competition In 2018,Short
" Dec. 21, 2017, 10:23 AM ",/article/4133252-campbell-soup-snyders-lance-food-m-gone-wild,Editors' Pick ," CPB, LNCE",Campbell Soup And Snyder's Lance: Food M&A Gone Wild,Short
" Dec. 21, 2017, 9:34 AM ",/article/4133224-betting-broadcom-ranjit-thomass-idea-month,Editors' Pick , AVGO,Betting Against Broadcom - Ranjit Thomas's Idea Of The Month,Short
 Salvador Garcia,/article/4133076-riot-blockchain-inc-primed-drop,RIOT," Dec. 20, 2017, 3:47 PM ","Riot Blockchain, Inc. Is Primed For A Drop",Short
 Investor Gator,/article/4133047-tesla-new-accounting-rule-means-musk-mislead-capital-raising-anymore,TSLA," Dec. 20, 2017, 1:59 PM ","For Tesla, A New Accounting Rule Means Musk Can't Mislead About Capital Raising Anymore",Short
 Josh Arnold,/article/4133006-costco-cash,COST," Dec. 20, 2017, 12:05 PM ",Costco: Where's The Cash?,Short
 Pinxter Analytics,/article/4132964-labrador-iron-ores-yield-trouble-glut-set-surge,LIFZF," Dec. 20, 2017, 10:04 AM ",Labrador Iron Ore's Yield Is In Trouble As Glut Is Set To Surge,Short
 Erik Huckle,/article/4132786-salesforce-overvalued-significantly-diversified,CRM," Dec. 19, 2017, 2:26 PM ",Salesforce - Overvalued And Not Significantly Diversified,Short
 DoctoRx,/article/4132777-tevas-tough-hanukah-updated-analysis,TEVA," Dec. 19, 2017, 1:36 PM ",Teva's Tough Hanukah: Updated Analysis,Short
 Compounding Cash,/article/4132754-enthusiasm-blue-aprons-new-ceo-masking-continued-deterioration-core-business,APRN," Dec. 19, 2017, 12:47 PM ",Enthusiasm For Blue Apron's New CEO Is Masking The Continued Deterioration Of The Core Business,Short
 The Structure Of Price,/article/4132759-amd-view,AMD," Dec. 19, 2017, 12:32 PM ",AMD: The View From Here,Short
 Strubel Investment Management,/article/4132740-tesla-overvalued-even-managements-projections-come-true,TSLA," Dec. 19, 2017, 11:37 AM ",Tesla Is Overvalued Even If Management's Projections Come True,Short
 Philomena Doyle,/article/4132710-avoid-autodesk,ADSK," Dec. 19, 2017, 10:20 AM ",Avoid Autodesk,Short
 Josh Arnold,/article/4132683-ford-something-give,F," Dec. 19, 2017, 8:45 AM ",Ford: Something Has To Give,Short
 Donn Bailey,/article/4132618-tesla-nixes-supercharger-use-new-buyers,TSLA," Dec. 18, 2017, 6:55 PM ",Tesla Nixes Supercharger Use For Some New Buyers,Short
 Nathaniel Grob,/article/4132539-despite-unwavering-confidence-wall-street-still-worried-long-netflix,NFLX," Dec. 18, 2017, 12:20 PM ","Despite Unwavering Confidence From Wall Street, I'd Still Be Worried If I Were Long Netflix",Short
 Don Dion,/article/4132519-byline-sink-lockup-expires,BY," Dec. 18, 2017, 11:24 AM ",Byline Could Sink When Lockup Expires,Short
 Montana Skeptic,/article/4132501-jonas-right-model-3-numbers-tesla-will-lose-2_6-billion-next-year,TSLA," Dec. 18, 2017, 10:43 AM ","If Jonas Is Right About Model 3 Numbers, Tesla Will Lose $2.6 Billion Next Year",Short
 Looking For Diogenes,/article/4132499-mannkind-postmortem-available,MNKD," Dec. 18, 2017, 10:41 AM ",MannKind: The Postmortem Is Available,Short
 Henrik Alex,/article/4132467-tiny-brokerage-siebert-financial-attracted-latest-blockchain-hype,SIEB," Dec. 18, 2017, 8:58 AM ",How Tiny Brokerage Siebert Financial Attracted The Latest Blockchain Hype,Short
 KIA Investment Research,/article/4132382-blackberry-tcl-dumping-half-smartphone-business-due-poor-smartphones-sales,BB," Dec. 17, 2017, 12:09 PM ",BlackBerry: TCL Dumping Half Its Smartphone Business Due To Poor Smartphones Sales,Short
" Dec. 17, 2017, 7:30 AM ",/article/4131861-sa-interview-intrinsic-value-investing-mcn-capital,Editors' Pick , KHC,SA Interview: Intrinsic Value Investing With MCN Capital,Short
 Donn Bailey,/article/4132257-tesla-get-serious-semis,TSLA," Dec. 15, 2017, 8:00 PM ",Tesla: Let's Get Serious About Semis,Short
 ValueAnalyst,/article/4132184-code-blue-7-series-collapses,BMWYY," Dec. 15, 2017, 1:57 PM ",Code Blue: 7 Series Collapses,Short
 Josh Arnold,/article/4132118-costcos-problem-math,COST," Dec. 15, 2017, 11:37 AM ",Costco's Problem With Math,Short
 Anton Wahlman,/article/4132127-morgan-stanley-now-estimates-110000-model-3-unit-sales-2018-cut,TSLA," Dec. 15, 2017, 11:33 AM ","Morgan Stanley Now Estimates Only 110,000 Model 3 Unit Sales In 2018, Is That A Cut?",Short
 Paulo Santos,/article/4132114-crypto-company-explained,CRCW," Dec. 15, 2017, 10:54 AM ",The Crypto Company Explained,Short
" Dec. 14, 2017, 2:21 PM ",/article/4131868-tesla-deep-dive-valuation,Editors' Pick , TSLA,Tesla: A Deep Dive Into Valuation,Short
 John Petersen,/article/4131901-glencores-investor-update-confirmed-analysis-teslas-cobalt-supply-chain-risk,TSLA," Dec. 14, 2017, 2:06 PM ",Glencore's Investor Update Confirmed My Analysis Of Tesla's Cobalt Supply Chain Risk,Short
 Robert Leonard,/article/4131873-can-core-marks-trucks-deliver-profits,CORE," Dec. 14, 2017, 1:49 PM ",Can Core-Mark's Trucks Deliver You Profits?,Short
 Paulo Santos,/article/4131850-tesla-check-full-self-driving-snake-oil-expiration-date,TSLA," Dec. 14, 2017, 11:53 AM ",Tesla: Check Your Full Self-Driving Snake Oil Expiration Date,Short
" Dec. 14, 2017, 9:44 AM ",/article/4131555-workhorse-upcoming-dilution-may-hurt-investors,Editors' Pick , WKHS,Workhorse: Upcoming Dilution May Hurt Investors,Short
 EnerTuition,/article/4131824-tesla-happens-federal-tax-credit-goes-away,TSLA," Dec. 14, 2017, 9:11 AM ",Tesla: What Happens If The Federal Tax Credit Goes Away?,Short
" Dec. 14, 2017, 9:00 AM ",/article/4131524-worthless-worth-less-impac-mortgage-preferred,Editors' Pick , IMH,Worthless Or Worth Less: Impac Mortgage Preferred,Short
 Avisol Capital Partners,/article/4131817-aclaris-pdufa-ahead-long-short-complementary-strategy,ACRS," Dec. 14, 2017, 8:47 AM ","Aclaris: PDUFA Ahead, A Long-Short Complementary Strategy",Short
 Neutral Investing,/article/4131811-wisdomtree-first-mover-advantage-gone,WETF," Dec. 14, 2017, 8:31 AM ",WisdomTree: First Mover Advantage Is Gone,Short
" Dec. 14, 2017, 5:00 AM ",/article/4131613-ip-group-playing-diy-valuation-game,Editors' Pick , IPZYF,IP Group: Playing The DIY Valuation Game,Short
 Kenra Investors,/article/4131743-netflixs-black-thursday-2-risks-underestimating,NFLX," Dec. 14, 2017, 12:27 AM ",Netflix's Black Thursday? - 2 Risks You Are Underestimating,Short
 Hindenburg Investment Research,/article/4131708-marathon-patent-group-bright-red-flags-newfangled-blockchain-play,MARA," Dec. 13, 2017, 4:43 PM ",Marathon Patent Group: Bright Red Flags With This Newfangled 'Blockchain' Play,Short
 Old Time REITster,/article/4131440-wheeler-real-estate-investment-trust-update-keybank-credit-facility-extension-signs-trouble,WHLR," Dec. 12, 2017, 6:20 PM ",Wheeler Real Estate Investment Trust: No Update On KeyBank Credit Facility Extension - Signs Of Trouble Ahead,Short
 Simon Mac,/article/4131431-teslas-accounting-bottleneck,TSLA," Dec. 12, 2017, 5:27 PM ",Tesla's Accounting Bottleneck,Short
" Dec. 12, 2017, 9:08 AM ",/article/4131197-despite-deteriorating-fundamentals-tesla-remains-dangerous-short,Editors' Pick , TSLA,"Despite Deteriorating Fundamentals, Tesla Remains A Dangerous Short",Short
 Michael Boyd,/article/4131209-cleveland-cliffs-bullishness-misplaced,CLF," Dec. 12, 2017, 12:20 AM ",Cleveland-Cliffs: Bullishness Misplaced,Short
 Eila Motley,/article/4131175-mondelez-track-adjust-changing-consumer-preferences,MDLZ," Dec. 11, 2017, 4:27 PM ",Mondelez Not On Track To Adjust To Changing Consumer Preferences,Short
 Anton Wahlman,/article/4131146-wsj-editorial-killing-electric-car-tax-credit-tesla-catches-major-break,TSLA," Dec. 11, 2017, 2:05 PM ","In WSJ Editorial On Killing The Electric Car Tax Credit, Tesla Catches A Major Break",Short
 Don Dion,/article/4131112-altice-attractive-short,ATUS," Dec. 11, 2017, 12:34 PM ",Altice Is An Attractive Short,Short
 Donn Bailey,/article/4131072-facts-tesla-bears,TSLA," Dec. 11, 2017, 12:05 PM ",Some Facts About Tesla And Its Bears,Short
 Investor Gator,/article/4131076-tesla-get-another-big-government-loan-exploring-unexpected-risk-bulls,TSLA," Dec. 11, 2017, 11:59 AM ",Is Tesla About To Get Another Big Government Loan?  Exploring An Unexpected Risk For Bulls,Short
 Josh Arnold,/article/4130855-setting-costco-earnings,COST," Dec. 10, 2017, 4:45 AM ",Setting Up For Costco Earnings,Short
" Dec. 9, 2017, 7:20 AM ",/article/4130605-vera-bradley-short-goes-back-silly-post-earnings-rally,Editors' Pick , VRA,Vera Bradley: The Short Goes Back On After A Silly Post-Earnings Rally,Short
 George Kesarios,/article/4130786-even-self-fulfilling-prophecies-limits,"AMD, NVDA"," Dec. 8, 2017, 7:00 PM ",Even Self-Fulfilling Prophecies Have Their Limits,Short
 Bears of Wall Street,/article/4130641-axon-enterprise-cautious,AAXN," Dec. 8, 2017, 11:05 AM ",Axon Enterprise: Be Cautious,Short
" Dec. 8, 2017, 7:52 AM ",/article/4130328-aerovironments-q2-beat,Editors' Pick , AVAV,AeroVironment's Q2: The Beat That Wasn't,Short
 Chief Fundamentals Officer,/article/4130511-teslas-looming-liquidity-crisis,TSLA," Dec. 7, 2017, 5:07 PM ",Tesla's Looming Liquidity Crisis,Short
 EnerTuition,/article/4130506-tesla-truck-reservations-hit-miss,TSLA," Dec. 7, 2017, 4:04 PM ",Tesla Truck Reservations: Hit Or Miss?,Short
 Hindenburg Investment Research,/article/4130500-polarityte-investors-beware,COOL," Dec. 7, 2017, 3:48 PM ",PolarityTE: Investors Beware,Short
 Shock Exchange,/article/4130488-fitch-downgrade-signal-pain-ge,GE," Dec. 7, 2017, 2:54 PM ",Fitch Downgrade Could Signal More Pain For GE,Short
 The Stock Stooge,/article/4130423-marathon-patent-bull-bear-take-crypto-mining-projections,MARA," Dec. 7, 2017, 12:37 PM ",Marathon Patent: A Bull And Bear Take On Crypto Mining Projections,Short
 Kevin Gorton,/article/4130379-solar-asset-backed-securities-tesla-spearheading-questionable-trend,TSLA," Dec. 7, 2017, 11:39 AM ",Solar Asset-Backed Securities: Tesla Spearheading The Questionable Trend,Short
 John Engle,/article/4130365-tesla-merging-spacex-morgan-stanley-gone-mad,TSLA," Dec. 7, 2017, 11:30 AM ",Tesla Merging With SpaceX: Has Morgan Stanley Gone Mad?,Short
 Donn Bailey,/article/4130375-teslas-inconvenient-truths,TSLA," Dec. 7, 2017, 11:27 AM ",Tesla's Inconvenient Truths,Short
" Dec. 7, 2017, 11:09 AM ",/article/4130070-china-minsheng-bank-negatively-impacted-weak-asset-quality-margin-pressures,Editors' Pick , CGMBF,China Minsheng Bank: Negatively Impacted By Weak Asset Quality And Margin Pressures,Short
" Dec. 6, 2017, 10:30 AM ",/article/4129700-mednax-slow-bleed-continues-will-private-equity-step,Editors' Pick , MD,"Mednax: Slow Bleed Continues, Will Private Equity Step In?",Short
