,Authors,Link,Tickers,Time,Title,Strategy,Week,Month
579, Sarfaraz A. Khan,/article/4134537-transocean-light-end-tunnel,RIG,2017-12-30 13:54:00,Transocean: Light At The End Of The Tunnel,Long,52.0,12.0
580, Leo Nelissen,/article/4134536-jetblue-ready-takeoff,JBLU,2017-12-30 13:14:00,JetBlue Is Ready For Takeoff,Long,52.0,12.0
582, TheBaron Investing,/article/4134520-pe-firm-doubles-gaming-buying-gamble,CVTGF,2017-12-30 06:37:00,"PE Firm Doubles Down On Gaming, Is Buying It A Gamble?",Long,52.0,12.0
583, David Butler,/article/4134521-aphria-inc-202-percent-can-keep-going,APHQF,2017-12-30 06:12:00,"Aphria Inc.: I'm Up 202%, Can It Keep Going?",Long,52.0,12.0
584, Zynath Investment,/article/4134511-apples-battery-controversy-response-brilliant,AAPL,2017-12-30 02:01:00,Apple's Battery Controversy Response Is Brilliant,Long,52.0,12.0
585, Wubbe Bos,/article/4134510-nippon-telegraph-and-telephone-hidden-value-broadband-assets,NTT,2017-12-30 01:26:00,Nippon Telegraph & Telephone: Hidden Value In Broadband Assets,Long,52.0,12.0
586, Gary Bourgeault,/article/4134501-turquoise-hills-time-finally-come,TRQ,2017-12-29 18:55:00,Has Turquoise Hill's Time Finally Come?,Long,52.0,12.0
587, Pinxter Analytics,/article/4134496-centurylink-leveled,CTL,2017-12-29 17:41:00,CenturyLink Has Leveled Up,Long,52.0,12.0
588, Vasil Velev,/article/4134493-paypal-valuation-stretched-still-peak,PYPL,2017-12-29 17:19:00,PayPal Valuation Stretched But Still Not At Peak,Long,52.0,12.0
592, Confounded Interest,/article/4134461-general-electric-crazy-ex-girlfriend-now-marry,GE,2017-12-29 12:33:00,General Electric: The Crazy Ex-Girlfriend I'm Now About To Marry,Long,52.0,12.0
594, Howard Jay Klein,/article/4134455-las-vegas-sands-great-year-happier-one-ahead-macau-recovery-momentum-speeds,LVS,2017-12-29 12:06:00,"Las Vegas Sands: A Great Year, And A Happier One Ahead, As Macau Recovery Momentum Speeds",Long,52.0,12.0
595, The Value Portfolio,/article/4134446-occidental-petroleum-permian-oil-supports-forward-growth,OXY,2017-12-29 11:36:00,Occidental Petroleum - Permian Oil Supports Forward Growth,Long,52.0,12.0
596, Achilles Research,/article/4134422-chesapeake-energy-top-rebound-pick-2018,CHK,2017-12-29 10:32:00,Chesapeake Energy: My Top Rebound Pick For 2018,Long,52.0,12.0
597," Andres Cardenal, CFA",/article/4134427-fiat-chrysler-undervalued-improving,FCAU,2017-12-29 10:27:00,Fiat Chrysler: Undervalued And Improving,Long,52.0,12.0
598, Gaurao Bhade,/article/4134426-hold-pfizer-2018,PFE,2017-12-29 10:24:00,Hold On To Pfizer In 2018,Long,52.0,12.0
599, ValueAnalyst,/article/4134424-tesla-bears-hibernating,TSLA,2017-12-29 10:17:00,Are Tesla Bears Hibernating?,Long,52.0,12.0
600, Richard Pearson,/article/4134418-gain-capital-now-see-super-spike,GCAP,2017-12-29 09:39:00,Why Gain Capital Could Now See A 'Super Spike',Long,52.0,12.0
602, Aitezaz Khan,/article/4134409-alexco-resources-turnaround-time,AXU,2017-12-29 09:34:00,Alexco Resources - Is It Turnaround Time?,Long,52.0,12.0
604, Sean Gardner,/article/4134413-needs-go-right-snap-succeed,SNAP,2017-12-29 09:27:00,What Needs To Go Right For Snap To Succeed?,Long,52.0,12.0
605, Stephen Barnes,/article/4134411-gamestop-worth-26-per-share-video,GME,2017-12-29 09:13:00,GameStop Is Worth $26 Per Share (Video),Long,52.0,12.0
607, Busted IPO Forum,/article/4134400-adverum-3_50-biotech-busted-ipo-gets-thumbs-up,ADVM,2017-12-29 07:59:00,Adverum: Why This ~$3.50 Biotech 'Busted IPO' Gets Our 'Thumbs Up',Long,52.0,12.0
608, George Kesarios,/article/4134399-blackberry-continues-ride-wall-worry,BB,2017-12-29 07:51:00,BlackBerry Continues To Ride A Wall Of Worry,Long,52.0,12.0
609, The Value Portfolio,/article/4134397-ensco-impressive-recovering-offshore-driller,ESV,2017-12-29 07:35:00,Ensco - Impressive Recovering Offshore Driller,Long,52.0,12.0
610, Ray Merola,/article/4134396-union-pacific-shares-rise-big-beneficiary-new-tax-plan,UNP,2017-12-29 07:28:00,Union Pacific Shares Rise: A Big Beneficiary Of The New Tax Plan,Long,52.0,12.0
611, Josh Rudnik,/article/4134390-transocean-buy-reversal,RIG,2017-12-29 06:49:00,Transocean: Buy The Reversal,Long,52.0,12.0
612, Andrew McElroy,/article/4134384-macys-goodbye-bear-market-get-bullish,M,2017-12-29 06:24:00,"Macy's: Goodbye To The Bear Market, But Don't Get Too Bullish",Long,52.0,12.0
613, Long Player,/article/4134379-csi-compressco-lp-back-truck-left-dead,CCLP,2017-12-29 05:32:00,CSI Compressco LP: Back Up The Truck When It Is Left For Dead,Long,52.0,12.0
614, Erich Reimer,/article/4134375-microsoft-beat-dot-com-market-cap-year-cloud-computing-means-growth-coming,MSFT,2017-12-29 03:53:00,"Microsoft Beat Its Dot-Com Market Cap This Year, And Cloud Computing Means More Growth Is Coming",Long,52.0,12.0
615, Long Player,/article/4134368-energy-xxi-curtain-opens-towards-uncertain-future,EGC,2017-12-29 02:17:00,Energy XXI: The Curtain Opens Towards An Uncertain Future,Long,52.0,12.0
616, WG Investment Research,/article/4134360-general-electric-look-2018,GE,2017-12-29 01:48:00,General Electric: What To Look For In 2018,Long,52.0,12.0
618, Darren McCammon,/article/4134344-christmas-gift-investors,SNYR,2017-12-28 20:56:00,An After Christmas Gift For Investors,Long,52.0,12.0
619, HealthBlogger,/article/4134338-wrong-allergan-2017-2018-will-different,AGN,2017-12-28 18:06:00,What Was Wrong For Allergan In 2017 And Why 2018 Will Be Different,Long,52.0,12.0
620, Aitezaz Khan,/article/4134328-agnico-eagle-mines-buy,AEM,2017-12-28 17:19:00,Agnico Eagle Mines Is A Buy,Long,52.0,12.0
621, Stone Fox Capital,/article/4134318-international-blockchain-machines,IBM,2017-12-28 16:17:00,International Blockchain Machines,Long,52.0,12.0
622, Gary Bourgeault,/article/4134317-2-things-will-drive-exxon-mobils-cash-flow-earnings-2018,XOM,2017-12-28 16:14:00,2 Things That Will Drive Exxon Mobil's Cash Flow And Earnings In 2018,Long,52.0,12.0
623, Beulah Meriam K,/article/4134308-makes-calvin-kleins-parent-company-solid-long-term-bet,PVH,2017-12-28 15:30:00,What Makes Calvin Klein's Parent Company A Solid Long-Term Bet?,Long,52.0,12.0
624, Rohit Chhatwal,/article/4134305-alibaba-will-2018-show-correction-explosive-bullish-rally,BABA,2017-12-28 15:07:00,Alibaba: Will 2018 Show Correction Or Explosive Bullish Rally?,Long,52.0,12.0
625, Larry Ramer,/article/4134303-blackberry-likely-announce-big-customer-wins-new-auto-device,BB,2017-12-28 14:52:00,BlackBerry Likely To Announce Big Customer Wins For Its New Auto Device,Long,52.0,12.0
626, Richard Pearson,/article/4134290-bitcoin-rollout-send-gain-capital-sharply-higher,GCAP,2017-12-28 13:20:00,Bitcoin Rollout Could Send GAIN Capital Sharply Higher,Long,52.0,12.0
627, Mark Hibben,/article/4134288-apple-iphone-throttling-planned-obsolescence,AAPL,2017-12-28 13:08:00,Apple: iPhone Throttling Is Not Planned Obsolescence,Long,52.0,12.0
628, Simple Digressions,/article/4134287-pure-gold-new-gold-producer-making,LRTNF,2017-12-28 12:56:00,Pure Gold: A New Gold Producer In The Making,Long,52.0,12.0
629, KMP Ideas,/article/4134286-turning-point-brands-cheap-company-non-cyclical-sector,TPB,2017-12-28 12:51:00,Turning Point Brands: Very Cheap Company In The Non-Cyclical Sector,Long,52.0,12.0
630, Bert Hochfeld,/article/4134283-blackberry-just-sweet-reemergence-company,BB,2017-12-28 12:47:00,BlackBerry: Just How Sweet Is The Reemergence Of This Company?,Long,52.0,12.0
631, Rohit Chhatwal,/article/4134282-jd-com-alibabas-biggest-rival-asset-liability,JD,2017-12-28 12:26:00,JD.Com: Being Alibaba's Biggest Rival Is An Asset Not A Liability,Long,52.0,12.0
632, Grant Gigliotti,/article/4134278-interdigital-offers-best-tech-growth-without-individual-company-risk,IDCC,2017-12-28 11:56:00,InterDigital Offers Best Tech Growth Without Individual Company Risk,Long,52.0,12.0
633, The First Mover,/article/4134275-jpmorgan-great-years-round-corner,JPM,2017-12-28 11:45:00,JPMorgan: The Great Years Are Round The Corner,Long,52.0,12.0
635, Business Quant,/article/4134265-amd-ryzen-refresh-ready-go,AMD,2017-12-28 11:35:00,AMD Ryzen Refresh: Ready To Go,Long,52.0,12.0
636, The Value Portfolio,/article/4134267-top-mining-pick-next-5-years,FCX,2017-12-28 11:03:00,My Top Mining Pick For The Next 5 Years,Long,52.0,12.0
638, Philomena Doyle,/article/4134261-loews-corp-buy,L,2017-12-28 10:43:00,Loews Corp. Is A Buy,Long,52.0,12.0
639, Caleb Jensema,/article/4134256-skyworks-long-term-buy-long-term-trends,SWKS,2017-12-28 10:26:00,Skyworks - A Long-Term Buy On Long-Term Trends,Long,52.0,12.0
641, Michael A. Ball,/article/4134245-facebook-will-continue-beat-market-2018,FB,2017-12-28 09:39:00,Why Facebook Will Continue To Beat The Market In 2018,Long,52.0,12.0
642, David Trainer,/article/4134244-hidden-classic-value-rich-market,KMB,2017-12-28 09:37:00,"Hidden, Classic Value In A Rich Market",Long,52.0,12.0
643, Jonathan Weber,/article/4134115-amd-expect-going-2018,AMD,2017-12-28 09:31:00,AMD: What To Expect Going Into 2018,Long,52.0,12.0
645, Josh Arnold,/article/4134225-miss-rally-boeing-still-time,BA,2017-12-28 07:51:00,Miss The Rally In Boeing? There's Still Time,Long,52.0,12.0
647, Leo Nelissen,/article/4134227-kb-home-buying-growth-interesting-price,KBH,2017-12-28 07:35:00,KB Home - Buying Growth At An Interesting Price,Long,52.0,12.0
649, Power Hedge,/article/4134226-ensco-financially-strong-well-positioned-industry-recovery,ESV,2017-12-28 07:26:00,Ensco: Financially Strong And Well Positioned For Industry Recovery,Long,52.0,12.0
650, Bruce Burnworth,/article/4134217-ford-previous-next-4-months,F,2017-12-28 06:43:00,Ford: Previous And Next 4 Months,Long,52.0,12.0
651, Edwin Kye,/article/4134211-energous-corporation-receives-fcc-approval,WATT,2017-12-28 06:38:00,Energous Corporation Receives FCC Approval,Long,52.0,12.0
652, The Value Portfolio,/article/4134216-gran-tierra-energy-valuable-assets-strong-financials-makes-good-investment,GTE,2017-12-28 06:37:00,Gran Tierra Energy - Valuable Assets And Strong Financials Makes It A Good Investment,Long,52.0,12.0
653, North Channel Investments,/article/4134207-cannabis-stock-analysis-3-cronos-group-inc,CRON,2017-12-28 05:39:00,Cannabis Stock Analysis #3: Cronos Group Inc.,Long,52.0,12.0
654, Sarfaraz A. Khan,/article/4134202-barrick-gold-one-cheapest-gold-mining-stocks,ABX,2017-12-28 05:21:00,Barrick Gold - One Of The Cheapest Gold Mining Stocks,Long,52.0,12.0
655, Nick Cox,/article/4134203-asian-markets-continue-boost-apples-growth,AAPL,2017-12-28 05:02:00,Asian Markets To Continue To Boost Apple's Growth,Long,52.0,12.0
656, Josh Rudnik,/article/4134200-exxon-mobil-ready-break,XOM,2017-12-28 04:39:00,Exxon Mobil: Ready To Break Out,Long,52.0,12.0
657, The Value Portfolio,/article/4134199-silly-buy-company-becomes-oil-major,SU,2017-12-28 04:34:00,You'd Be Silly Not To Buy This Company Before It Becomes An Oil Major,Long,52.0,12.0
658, Samuel Smith,/article/4134197-added-infracap-mlp-etf-portfolio-2018,AMZA,2017-12-28 04:21:00,Why I Added InfraCap MLP ETF To My Portfolio For 2018,Long,52.0,12.0
659, The Value Portfolio,/article/4134195-transocean-enormous-steady-offshore-juggernaut,RIG,2017-12-28 03:56:00,"Transocean - Enormous, Steady Offshore Juggernaut",Long,52.0,12.0
660, John Engle,/article/4134192-verastem-looks-undervalued-despite-cash-concerns,VSTM,2017-12-28 03:24:00,Verastem: Looks Undervalued Despite Cash Concerns,Long,52.0,12.0
661, Joseph L. Shaefer,/article/4134166-can-hotel-companies-survive-airbnb-one-will,PK,2017-12-27 21:07:00,Can Hotel Companies Survive Airbnb? This One Will,Long,52.0,12.0
662, Trent Welsh,/article/4134165-hi-crush-buying-cheap-units,HCLP,2017-12-27 20:53:00,Hi-Crush: Buying Up Cheap Units,Long,52.0,12.0
663, ValueAnalyst,/article/4134163-tesla-q4-2017-delivery-estimate,TSLA,2017-12-27 18:59:00,Tesla: Q4 2017 Delivery Estimate,Long,52.0,12.0
664, Taylor Dart,/article/4134158-taseko-mines-playing-copper-crunch,TGB,2017-12-27 17:56:00,Taseko Mines: Playing The Copper Crunch,Long,52.0,12.0
666, Elad Fedida,/article/4134149-rudolph-red-nose-small-cap-run,RTEC,2017-12-27 16:51:00,Rudolph And His Red Nose: A Small-Cap On The Run,Long,52.0,12.0
667, Gary Bourgeault,/article/4134146-amazon-dangling-data-carrot-take-ad-share-google-facebook,AMZN,2017-12-27 16:32:00,"Amazon Dangling Data Carrot To Take Ad Share From Google, Facebook",Long,52.0,12.0
668, Jeremy Rowe,/article/4134143-carmax-slow-steady-wins-race,KMX,2017-12-27 15:37:00,CarMax: Slow And Steady Wins The Race,Long,52.0,12.0
670, Situm,/article/4134136-qiwi-radar-blockchain-play,QIWI,2017-12-27 15:26:00,QIWI - An Under-The-Radar Blockchain Play,Long,52.0,12.0
671, Bull's Run,/article/4134139-duke-energy-gift-2018,DUK,2017-12-27 15:18:00,Duke Energy: A Gift For 2018,Long,52.0,12.0
672, Michael Filloon,/article/4134135-hartstreet-jagged-peak-oil-production-improvements-show-oasis-paid-big-new-leasehold,JAG,2017-12-27 14:55:00,Hartstreet: Jagged Peak Oil Production Improvements Show Why Oasis Paid Big For Its New Leasehold,Long,52.0,12.0
674, Sam Tiahnybik,/article/4134121-ckx-lands-attractive-buy-hold-large-margin-safety,CKX,2017-12-27 12:49:00,CKX Lands - An Attractive Buy And Hold With A Large Margin Of Safety,Long,52.0,12.0
675, Nic Harvey,/article/4134107-emerge-energy-services-multiple-catalysts-push-stock-higher,EMES,2017-12-27 11:16:00,Emerge Energy Services: Multiple Catalysts To Push This Stock Higher,Long,52.0,12.0
677, The Value Portfolio,/article/4134102-offshore-driller-watch-2018,NE,2017-12-27 11:03:00,The Offshore Driller To Watch Through 2018,Long,52.0,12.0
678, Sarfaraz A. Khan,/article/4134100-enbridge-inc-buy-heading-2018,ENB,2017-12-27 10:53:00,Enbridge Inc. Is A Buy Heading Into 2018,Long,52.0,12.0
679, Kwan-Chen Ma,/article/4134093-happy-new-year-nvidia,NVDA,2017-12-27 10:40:00,Happy New Year Nvidia,Long,52.0,12.0
680, Cash-Centered Creep,/article/4134094-apple-likely-hit-1-trillion-soon-think,AAPL,2017-12-27 10:11:00,Apple: Not Likely To Hit $1 Trillion As Soon As You Think,Long,52.0,12.0
681, Max Greve,/article/4134082-verizons-late-tv-party-just-arrived-big-bang,VZ,2017-12-27 10:01:00,"Verizon's Late To The TV Party, But It Just Arrived With A Big Bang",Long,52.0,12.0
682, Josh Rudnik,/article/4134083-blackberry-buy-reversal,BB,2017-12-27 09:36:00,BlackBerry: Buy The Reversal,Long,52.0,12.0
683, Growth Through Value,/article/4134076-willdan-group-followed-top-idea-2018,WLDN,2017-12-27 09:33:00,The Willdan Group: Under-Followed Top Idea For 2018,Long,52.0,12.0
685, Vladimir Zernov,/article/4134074-transocean-expectations-2018,RIG,2017-12-27 08:51:00,Transocean: Expectations For 2018,Long,52.0,12.0
686, ONeil Trader,/article/4134073-global-blood-therapeutics-significance-ash-updates,GBT,2017-12-27 08:44:00,Global Blood Therapeutics: The Significance Of ASH Updates,Long,52.0,12.0
688, Zynath Investment,/article/4134058-apples-liability-recent-battery-scandal,AAPL,2017-12-27 07:37:00,Apple's Liability For The Recent Battery Scandal,Long,52.0,12.0
690, Brad Kenagy,/article/4134065-molson-coors-2017-trash-2018-treasure,TAP,2017-12-27 07:28:00,Molson Coors: 2017 Trash To 2018 Treasure,Long,52.0,12.0
691, Leo Nelissen,/article/4133784-norfolk-southern-screams-higher,NSC,2017-12-27 07:00:00,Norfolk Southern Screams Higher,Long,52.0,12.0
692, Daniel Jones,/article/4134057-iridium-communications-future-cash-cow-trading-cheap,IRDM,2017-12-27 06:55:00,Iridium Communications: A Future Cash Cow Trading For Cheap,Long,52.0,12.0
693, Achilles Research,/article/4134055-j-c-penney-speculative-buy-big-upside,JCP,2017-12-27 06:50:00,J.C. Penney: A Speculative Buy With Big Upside,Long,52.0,12.0
694, Leo Nelissen,/article/4134051-general-electric-2018-champion,GE,2017-12-27 06:41:00,General Electric - 2018 Champion,Long,52.0,12.0
696, Peter Arendas,/article/4134046-kipushi-project-ivanhoe-mines-hidden-gem,IVPAF,2017-12-27 05:40:00,"The Kipushi Project, Ivanhoe Mines' Hidden Gem",Long,52.0,12.0
697, Brian Lin,/article/4134034-jd-com-current-stock-price-justified,JD,2017-12-27 03:56:00,JD.Com: Is The Current Stock Price Justified?,Long,52.0,12.0
698, EconDad,/article/4134031-case-cleveland-cliffs,CLF,2017-12-27 02:58:00,The Case For Cleveland-Cliffs,Long,52.0,12.0
700, Long Player,/article/4134026-kinder-morgan-backlog-addition,KMI,2017-12-27 02:06:00,Kinder Morgan: Backlog Addition,Long,52.0,12.0
701, Jonathan Byrne,/article/4134013-facebook-growth-story-still-intact,FB,2017-12-26 23:15:00,Facebook: Growth Story Still Intact,Long,52.0,12.0
702, Bert Hochfeld,/article/4134010-red-hat-perceptions-value-lie-eyes-beholder,RHT,2017-12-26 22:44:00,Red Hat: Where Perceptions Of Value Lie In The Eyes Of The Beholder,Long,52.0,12.0
703, Bill Maurer,/article/4133994-apple-iphone-panic,AAPL,2017-12-26 19:07:00,"Apple: iPhone Panic, Again?",Long,52.0,12.0
705, Cabeza Howe,/article/4133990-rise-education-inching-one-step-toward-becoming-education-giant,REDU,2017-12-26 18:07:00,RISE Education Inching One Step Further Toward Becoming An Education Giant,Long,52.0,12.0
706, The Value Portfolio,/article/4133967-transcanadas-history-growth-support-continued-dividend-growth,TRP,2017-12-26 15:17:00,TransCanada's History And Growth Support Continued Dividend Growth,Long,52.0,12.0
708, Pantho Investments,/article/4133945-stoneridge-long-term-wager-increased-digitalization-automobiles-ev,SRI,2017-12-26 14:30:00,Stoneridge: A Long-Term Wager On The Increased Digitalization Of Automobiles And EV,Long,52.0,12.0
709, DoctoRx,/article/4133949-apple-takes-hits-analysis,AAPL,2017-12-26 14:19:00,Apple Takes Some Hits: Analysis,Long,52.0,12.0
710, KMP Ideas,/article/4133946-office-depot-new-opportunities-due-changes-business-concept,ODP,2017-12-26 14:06:00,Office Depot: New Opportunities Due To Changes In Business Concept,Long,52.0,12.0
713, Josh Arnold,/article/4133933-darden-new-highs-coming,DRI,2017-12-26 12:55:00,Darden: New Highs Are Coming,Long,52.0,12.0
714, The Value Portfolio,/article/4133929-apache-corp-growing-american-oil,APA,2017-12-26 12:04:00,Apache Corp.: Growing American Oil,Long,52.0,12.0
715, Alberto Wallis,/article/4133921-delta-continues-soaring,DAL,2017-12-26 11:40:00,Delta Continues Soaring,Long,52.0,12.0
716, Eric Oetjen,/article/4133925-best-buys-ai-race-part-iii-micron-technology,MU,2017-12-26 11:37:00,"Best Buys In The AI Race, Part III - Micron Technology",Long,52.0,12.0
717, Michael Filloon,/article/4133912-hartstreet-continental-wells-show-major-improvement-oil-production,CLR,2017-12-26 10:30:00,Hartstreet: Continental Wells Show Major Improvement In Oil Production,Long,52.0,12.0
719, Vasant Jain,/article/4133906-stance-high-arctic-2-years,HGHAF,2017-12-26 10:15:00,Our Stance On High Arctic After 2 Years,Long,52.0,12.0
720, Cameron Smith,/article/4133903-armanino-foods-tax-reform-slow-priced-highly-profitable-small-cap,AMNF,2017-12-26 10:01:00,Armanino Foods: Tax Reform Slow To Be Priced Into This Highly Profitable Small Cap,Long,52.0,12.0
721, Oleh Kombaiev,/article/4133894-alibaba-group-dcf-valuation,BABA,2017-12-26 09:47:00,Alibaba Group: DCF Valuation,Long,52.0,12.0
722, Jacob Urban,/article/4133899-cheesecake-factory-story-store-sales-declines,CAKE,2017-12-26 09:33:00,The Cheesecake Factory: More To The Story Than Same-Store Sales Declines,Long,52.0,12.0
724, Cornerstone Investments,/article/4133890-waste-connections-premier-franchise-solid-waste-industry,WCN,2017-12-26 08:51:00,Waste Connections: Premier Franchise In The Solid Waste Industry,Long,52.0,12.0
727, Gary Alexander,/article/4133868-wayfair-e-commerce-giant-worth-betting,W,2017-12-26 06:36:00,Wayfair: An E-Commerce Giant Worth Betting On,Long,52.0,12.0
728, Erich Reimer,/article/4133862-will-facebook-watch-take-youtube-netflix,FB,2017-12-26 05:37:00,Will 'Facebook Watch' Take Down YouTube And Netflix?,Long,52.0,12.0
729, Erich Reimer,/article/4133861-cryptocurrencys-recent-problems-show-paypal-stay-poised-growth,PYPL,2017-12-26 05:28:00,"Cryptocurrency's Recent Problems Show Why PayPal Is Not Only Here To Stay, But Poised For More Growth",Long,52.0,12.0
730," Andres Cardenal, CFA",/article/4133853-united-rentals-stock-positioned-outperformance,URI,2017-12-26 02:16:00,United Rentals Stock Is Positioned For Outperformance,Long,52.0,12.0
731, Cash-Centered Creep,/article/4133825-general-electric-excellent-long-term-investment,GE,2017-12-25 14:42:00,General Electric: An Excellent Long-Term Investment,Long,52.0,12.0
732, Shareholders Unite,/article/4133824-universal-display-keeps-rising,OLED,2017-12-25 14:37:00,Universal Display Keeps On Rising,Long,52.0,12.0
733, Aristofanis Papadatos,/article/4133820-buy-dip-priceline,BKNG,2017-12-25 14:22:00,Should You Buy The Dip In Priceline?,Long,52.0,12.0
734, The Belgian Dentist,/article/4133816-gold-fields-firing-cylinders,GFI,2017-12-25 13:46:00,Gold Fields: Firing On All Cylinders,Long,52.0,12.0
735, Tunga Capital,/article/4133801-market-right-mcdonalds-expect-sustained-momentum-2018,MCD,2017-12-25 11:12:00,Market Is Right On McDonald's; Expect Sustained Momentum In 2018,Long,52.0,12.0
736, TINO IQ,/article/4133796-buckeye-partners-bulls-back-action,BPL,2017-12-25 10:38:00,Buckeye Partners: The Bulls Are Back In Action,Long,52.0,12.0
738, Sam Shi Feng,/article/4133779-gamestop-potential-upside-2018,GME,2017-12-25 09:51:00,GameStop: Potential Upside In 2018,Long,52.0,12.0
739, John Abbink,/article/4133778-new-basf-overnight-bargain,BASFY,2017-12-25 09:48:00,"A New BASF, But Not Overnight And Not A Bargain",Long,52.0,12.0
740, Confounded Interest,/article/4133780-viasat-strike-iron-still-room-temperature,VSAT,2017-12-25 09:42:00,ViaSat: Strike While The Iron Is... Still Room Temperature?,Long,52.0,12.0
741, The Value Portfolio,/article/4133771-ignored-rapidly-growing-mining-company,NSU,2017-12-25 08:34:00,An Ignored But Rapidly Growing Mining Company,Long,52.0,12.0
742, Felix Johannes,/article/4133762-kevin-plank-preparing-exit-armour,UAA,2017-12-25 08:30:00,Is Kevin Plank Preparing His Exit From Under Armour?,Long,52.0,12.0
743, Confounded Interest,/article/4133768-philip-morris-international-iqos-confessions-addict,PM,2017-12-25 08:20:00,Philip Morris International: IQOS - Confessions Of An Addict,Long,52.0,12.0
744, Michael Wald,/article/4133765-scana-buy-sell-go,SCG,2017-12-25 07:54:00,SCANA Buy Or Sell: Where Do We Go From Here?,Long,52.0,12.0
745, Williams Equity Research,/article/4133755-diamondback-really-best-pure-play-permian,FANG,2017-12-25 07:31:00,Is Diamondback Really The Best Pure-Play In The Permian?,Long,52.0,12.0
748, Ross Tessien,/article/4133753-tesla-pickup-truck-100b-market-space,TSLA,2017-12-25 07:26:00,"Tesla Pickup Truck, A $100B Market Space",Long,52.0,12.0
750, Healthy Wealth Coach,/article/4133748-autonation-record-earnings-factored-stock-price,AN,2017-12-25 05:41:00,AutoNation: Record Earnings Are Not Being Factored Into The Stock Price,Long,52.0,12.0
751, Zheng Feng Chee,/article/4133742-therapeuticsmd-class-2-re-submission-end-world,TXMD,2017-12-25 04:48:00,TherapeuticsMD: Class 2 Re-Submission Is Not The End Of The World,Long,52.0,12.0
752," Carlton Getz, CFA",/article/4133736-sally-beautys-tax-risk-opportunity,SBH,2017-12-25 04:36:00,Sally Beauty's Tax Risk And Opportunity,Long,52.0,12.0
753, Fun Trading,/article/4133737-pretium-resources-seeks-raise-production-rate-40-percent-good-bad-news,PVG,2017-12-25 04:10:00,Pretium Resources Seeks To Raise Production Rate By 40%. Is It Good Or Bad News?,Long,52.0,12.0
754, Benjamin Miller,/article/4133712-target-raises-minimum-wage,TGT,2017-12-25 00:36:00,Target Raises Minimum Wage,Long,52.0,12.0
755, Edwin Kye,/article/4133705-v-f-corporation-long-term-buy,VFC,2017-12-24 16:01:00,V.F. Corporation Is A Long-Term Buy,Long,51.0,12.0
