Time,Link,Title,Authors,Tickers,Strategy
" May 31, 2017, 12:17 PM ",/article/4077690-nvr-market-undervalues-firms-cash-flows,NVR: The Market Undervalues This Firm's Cash Flows, David Trainer,NVR,Long
" May 31, 2017, 12:00 PM ",/article/4077682-schedule-canadian-banks-part-4-6-canadian-imperial-bank-commerce,Schedule I Canadian Banks - (Part 4 Of 6): Canadian Imperial Bank Of Commerce, Charles Fournier,CM,Long
" May 31, 2017, 11:54 AM ",/article/4077661-armour-millennial-play-pay,Under Armour: A Millennial Play That Could Pay, Millennial Investing,UA,Long
" May 31, 2017, 11:53 AM ",/article/4077660-anheuser-busch-pushes-craft-beer-market-new-acquisition,Anheuser Busch Pushes Into Craft Beer Market With New Acquisition, Raging Bull,BUD,Long
 GUYFF,/article/4077398-guyana-goldfields-application-lesson-learned,Guyana Goldfields: Application Of A Lesson Learned," May 31, 2017, 11:44 AM ",Editors' Pick ,Long
 DWCH,/article/4077662-datawatch-q2-strengthens-bull-case,Datawatch: Q2 Strengthens The Bull Case," May 31, 2017, 11:25 AM ",Editors' Pick ,Long
 WES,/article/4077389-western-gas-pivot-permian-basin-will-jump-start-performance,Western Gas: Pivot To The Permian Basin Will Jump-Start Performance," May 31, 2017, 11:23 AM ",Editors' Pick ,Long
" May 31, 2017, 11:15 AM ",/article/4077658-nintendos-top-line-will-grow-33-percent-cagr-2016minus-19-switch-takes,Nintendo's Top Line Will Grow At 33% CAGR 2016-19 As Switch Takes Off, Damitha Pathmalal,NTDOY,Long
" May 31, 2017, 11:03 AM ",/article/4077643-wal-mart-destined-mediocrity-willing,Wal-Mart Is Destined For Mediocrity Until It's Willing To Do This, James Brumley,WMT,Long
 NAVI,/article/4077375-navient-cash-flow-machine-keeps-rewarding-shareholders,Navient: Cash Flow Machine Keeps Rewarding Shareholders," May 31, 2017, 10:58 AM ",Editors' Pick ,Long
" May 31, 2017, 10:41 AM ",/article/4077647-update-shopify-long-thesis,An Update On My Shopify Long Thesis, Ramiz Bozai,SHOP,Long
" May 31, 2017, 10:40 AM ",/article/4077646-ensco-stock-transaction-highlights-value,Ensco: All-Stock Transaction Highlights Value, Stone Fox Capital,ESV,Long
 RF,/article/4077367-regions-financial-one-rate-sensitive-banks-offering-large-capital-return,Regions Financial: One Of The Most Rate Sensitive Banks Offering Large Capital Return," May 31, 2017, 10:39 AM ",Editors' Pick ,Long
" May 31, 2017, 10:00 AM ",/article/4077629-media-failed-invitae-story-strong,How The Media Has Failed - The Invitae Story Is Strong, Capital Market Laboratories,NVTA,Long
 SINA,/article/4077345-sina-weibo-relative-valuations-present-compelling-arbitrage-opportunity-seen,Sina/Weibo Relative Valuations Present As Compelling An Arbitrage Opportunity As We've Seen," May 31, 2017, 9:47 AM ",Editors' Pick ,Long
" May 31, 2017, 9:45 AM ",/article/4077619-psychiatry-pipeline-supernus-looks-promising,The Psychiatry Pipeline Of Supernus Looks Promising, Emerging Equities,SUPN,Long
 TNAV,/article/4077339-telenav-unrecognized-unloved-play-dash-autonomous-directions,Telenav - Unrecognized And Unloved Play On In-Dash Autonomous Directions," May 31, 2017, 9:36 AM ",Editors' Pick ,Long
" May 31, 2017, 9:32 AM ",/article/4077616-upcoming-short-long-term-catalysts-athersys,Upcoming Short- And Long-Term Catalysts For Athersys, Jon Crowley,ATHX,Long
" May 31, 2017, 9:27 AM ",/article/4077615-throwing-baby-bath-water-external-factors-depressing-carters-inc-stock-price-irresistible,Throwing The Baby Out With The Bath Water: External Factors Depressing Carter's Inc. Stock Price To Irresistible Levels, Kevin Mackie,CRI,Long
" May 31, 2017, 9:16 AM ",/article/4077597-aphria-inc-marijuana-stock-actual-potential,Aphria Inc.: A Marijuana Stock With Actual Potential, David Butler,APHQF,Long
" May 31, 2017, 8:59 AM ",/article/4077603-meet-group-slap-face-gift,The Meet Group: This Slap In The Face Is A Gift, Quad 7 Capital,MEET,Long
" May 31, 2017, 8:56 AM ",/article/4077602-zogenix-promising-pipeline-orphan-epilepsy-syndromes-upcoming-catalyst,Zogenix: A Promising Pipeline In Orphan Epilepsy Syndromes And An Upcoming Catalyst, Bob Sharma,ZGNX,Long
" May 31, 2017, 8:54 AM ",/article/4077601-carnival-enjoy-ride,Carnival: Enjoy The Ride, Max Loh,CCL,Long
 ACLS,/article/4077328-revisiting-axcelis-technologies-currently-compelling,Revisiting Axcelis Technologies And Why It's Currently So Compelling," May 31, 2017, 8:50 AM ",Editors' Pick ,Long
" May 31, 2017, 8:42 AM ",/article/4077594-big-trade,A 'BIG' Trade, Quad 7 Capital,BIG,Long
" May 31, 2017, 8:40 AM ",/article/4077591-itau-unibanco-still-bargain-attractive-yield,Itau Unibanco: Still A Bargain With An Attractive Yield, Alexander MacKnight,ITUB,Long
" May 31, 2017, 8:23 AM ",/article/4077582-nike-mr-market-offering-high-quality-triple-play,Nike: Mr. Market Is Offering A High Quality Triple Play, Nelson Alves,NKE,Long
" May 31, 2017, 7:53 AM ",/article/4077583-bon-ton-market-overreaction-bankruptcy-risk-resulted-34-percent-upside,Bon-Ton: Market Overreaction To Bankruptcy Risk Has Resulted In 34% Upside!, Damitha Pathmalal,BONT,Long
" May 31, 2017, 7:40 AM ",/article/4077580-biocryst-frustration-joy-biotech-investing,BioCryst: Frustration Then Joy In Biotech Investing, Keith Williams,BCRX,Long
" May 31, 2017, 7:38 AM ",/article/4077570-sony-finally-transforming,Sony - Finally Transforming?, William Sabin,SNE,Long
" May 31, 2017, 7:37 AM ",/article/4077569-dominos-pizza-still-room-grow,Domino's Pizza Still Has Room To Grow, Michael Vinci,DPZ,Long
" May 31, 2017, 7:26 AM ",/article/4077573-weight-watchers-international-peels-pounds-piles-profits,Weight Watchers International Peels Off Pounds And Piles On Profits, Arne Bey,WTW,Long
" May 31, 2017, 7:23 AM ",/article/4077566-parsing-ebixs-acquisition-itzcash,Parsing EBIX's Acquisition Of ItzCash, Manoj Madhavan,EBIX,Long
" May 31, 2017, 7:13 AM ",/article/4077565-exxon-mobil-will-break-soon,Exxon Mobil: It Will Break Out Soon, Brandon Dempster,XOM,Long
" SXYAY, SKFOF",/article/4077239-sika-ags-specialty-chemical-businesses-continue-outperform,Sika AG's Specialty Chemical Businesses Continue To Outperform," May 31, 2017, 7:00 AM ",Editors' Pick ,Long
" May 31, 2017, 12:00 AM ",/article/4077537-bank-america-lower-treasury-yields,Bank Of America And Lower Treasury Yields, Renaissance Research,BAC,Long
" May 30, 2017, 11:11 PM ",/article/4077534-slaves-facebook,We Are All Slaves To Facebook, Shareholders Unite,FB,Long
" May 30, 2017, 9:26 PM ",/article/4077529-forget-fluff-buy-target,Forget The Fluff And Buy Target, Colorado Wealth Management Fund,TGT,Long
" May 30, 2017, 6:46 PM ",/article/4077522-ensco-warren-buffett-style-stock-now,Ensco Is A Warren Buffett Style Stock Now, Geoffrey Caveney,ESV,Long
" May 30, 2017, 6:27 PM ",/article/4077515-coke-new-dimension-analysis,Coke: A New Dimension Of Analysis, Helena Leathers,KO,Long
" May 30, 2017, 5:55 PM ",/article/4077510-devon-energy-buy,Devon Energy Is A Buy, Sarfaraz A. Khan,DVN,Long
" May 30, 2017, 5:14 PM ",/article/4077509-gm-stops-following-wrong-metrics,GM Stops Following The Wrong Metrics, Rohit Chhatwal,GM,Long
" May 30, 2017, 4:30 PM ",/article/4077503-blackberry-upside,BlackBerry Has More Upside, Searching For Value,BB,Long
" May 30, 2017, 4:28 PM ",/article/4077501-will-biodelivery-sciences-leave-bad-taste-investors-mouths,Will BioDelivery Sciences Leave A Bad Taste In Investors' Mouths?, Strong Bio,BDSI,Long
" May 30, 2017, 4:26 PM ",/article/4077500-amazon-low-hanging-fruit-rotten-vegetables,Amazon: Low-Hanging Fruit Or Rotten Vegetables?, The Structure Of Price,AMZN,Long
" May 30, 2017, 4:20 PM ",/article/4077491-yum-brands-leaner-meaner-tastier,"Yum Brands: Leaner, Meaner, And Tastier?", Orthodox Investor,YUM,Long
" May 30, 2017, 4:01 PM ",/article/4077496-nvidia-benefits-nintendo-ramping-production-switch,Nvidia Benefits From Nintendo Ramping Up Production Of The Switch, Motek Moyen,NVDA,Long
" May 30, 2017, 3:58 PM ",/article/4077494-t-may-getting-time-warners-film-division-good-time,AT&T May Be Getting Time Warner's Film Division At A Good Time, Max Greve,"TWX, T",Long
" May 30, 2017, 3:56 PM ",/article/4077485-kirklands-compelling-valuation-least-28-percent-upside,Kirkland's - A Compelling Valuation With At Least A 28% Upside, Sam Tiahnybik,KIRK,Long
" May 30, 2017, 3:32 PM ",/article/4077478-trimble-robotics-play,Trimble: Robotics Play, David Zanoni,TRMB,Long
" May 30, 2017, 2:44 PM ",/article/4077471-fuelcell-energy-preferred-stock-fcelb-attractive-investment-opportunity-fcel-present,FuelCell Energy: Is The Preferred Stock FCELB A More Attractive Investment Opportunity Than FCEL At Present?," Wayne Olson, CFA",FCEL,Long
" May 30, 2017, 2:38 PM ",/article/4077470-ahead-car-t-play-kite-pharma,What's Ahead For CAR-T Play Kite Pharma?, Bret Jensen,KITE,Long
 WB,/article/4077465-weibo-winner-chinas-internet-celebrity-economy,"Weibo, A Winner In China's Internet Celebrity Economy"," May 30, 2017, 2:19 PM ",Editors' Pick ,Long
" May 30, 2017, 2:13 PM ",/article/4077446-foot-locker-opportunity-sell,Foot Locker: Opportunity On The Sell-Off, Edwin Kye,FL,Long
" May 30, 2017, 1:53 PM ",/article/4077441-may-start-abbott-laboratories-upside-trajectory-2017,This May Be The Start Of Abbott Laboratories' Upside Trajectory For 2017, Gaurao Bhade,ABT,Long
" May 30, 2017, 1:43 PM ",/article/4077447-disney-buy-future-china-growth,Disney: Buy For Future China Growth, ChartMasterPro,DIS,Long
" May 30, 2017, 1:42 PM ",/article/4077445-chicago-bridge-and-iron-reviewing-risks,Chicago Bridge & Iron: Reviewing The Risks, Brian Sanders,CBI,Long
" May 30, 2017, 1:33 PM ",/article/4077442-rise-electric-vehicles-autonomous-driving-technology-contrarian-perspective,The Rise Of Electric Vehicles And Autonomous Driving Technology - A Contrarian Perspective, Blue Quadrant Capital Management,"BMWYY, GM, INTC",Long
" May 30, 2017, 12:46 PM ",/article/4077424-barclays-ceo-made-colossal-mistake-still-good-shareholders,Barclays: CEO Made A Colossal Mistake But He Is Still Good For Shareholders, IP Banking Research,BCS,Long
" May 30, 2017, 12:40 PM ",/article/4077431-berkshire-hathaway-measuring-performance,Berkshire Hathaway: Measuring Performance, Sean Weston,BRK.A,Long
" May 30, 2017, 12:40 PM ",/article/4077417-investors-get-high-zynerba-pharmaceuticals,Investors Should 'Get High' On Zynerba Pharmaceuticals, Bret Jensen,ZYNE,Long
" May 30, 2017, 12:38 PM ",/article/4077415-pepsico-hot-income-seekers,PepsiCo: Hot Not Only For Income Seekers, Societe Financiers,PEP,Long
" May 30, 2017, 12:35 PM ",/article/4077430-diamond-offshore-playing-cycle-right-ways,Diamond Offshore: Playing The Cycle In All The Right Ways, Healthy Wealth Coach,DO,Long
" May 30, 2017, 12:20 PM ",/article/4077427-dram-nand-strength-continues-micron-will,"DRAM And NAND Strength Continues, Micron Will Too", Truth Investor,MU,Long
" May 30, 2017, 12:17 PM ",/article/4077425-dexcoms-implantable-blood-sugar-monitor-sales-rise,Dexcom's Implantable Blood Sugar Monitor Sales Rise, Strong Bio,DXCM,Long
" May 30, 2017, 12:06 PM ",/article/4077395-csx-still-impressively-rich,CSX: Still Impressively Rich, Activist Stocks,CSX,Long
" May 30, 2017, 11:56 AM ",/article/4077407-go-ahead-bet-tesla-just-expose-potential-loss-owning-tesla-shares,"Go Ahead And Bet On Tesla, Just Don't Expose Yourself To Potential Loss By Owning Tesla Shares", Superinvestor Bulletin,TSLA,Long
" May 30, 2017, 11:55 AM ",/article/4077405-dryships-inc-announces-150-million-debt-commitment-abn-korean-export-bank,DryShips Inc.: Announces $150 Million Debt Commitment From ABN And Korean Export Bank, Morningsidepark,DRYS,Long
" May 30, 2017, 11:50 AM ",/article/4077403-schedule-canadian-banks-part-3-6-toronto-dominion-bank,Schedule I Canadian Banks - (Part 3 Of 6): The Toronto-Dominion Bank, Charles Fournier,TD,Long
" May 30, 2017, 11:32 AM ",/article/4077379-starbucks-breakout-growing-ticket,Starbucks: Breakout On Growing Ticket, Save Money Retire Early,SBUX,Long
" May 30, 2017, 11:30 AM ",/article/4077377-market-saying-chevrons-current-valuation,What The Market Is Saying About Chevron's Current Valuation, Oil Industry Trends & Insights,CVX,Long
" May 30, 2017, 11:10 AM ",/article/4077369-cisco-buy-dip,Cisco: Buy The Dip, Stock Market Sherpa,CSCO,Long
" May 30, 2017, 11:05 AM ",/article/4077380-ferrari-tesla-tell-us-winning-formula-stocks,What Ferrari And Tesla Tell Us About The Winning Formula For Stocks, Ensemble Capital,"TSLA, RACE",Long
" May 30, 2017, 11:01 AM ",/article/4077378-kmg-chemical-unknown-specialty-chemical-company-long,"KMG Chemical: An Unknown Specialty Chemical Company, But Not For Long", WG Investment Research,KMG,Long
" May 30, 2017, 11:00 AM ",/article/4077361-greenlight-einhorn-right-general-motors-vote-green-june-6th,Greenlight And Einhorn Are Right About General Motors - Vote GREEN On June 6th, Seven Corners Capital Management,GM,Long
" May 30, 2017, 11:00 AM ",/article/4077231-amd-owners-look-institutionals,AMD Owners: Look At What Institutionals Are Doing, Jonathan Weber,AMD,Long
" May 30, 2017, 10:45 AM ",/article/4077355-let-short-term-worries-put-tsmc,Don't Let Short-Term Worries Put You Off TSMC, Joseph Mwangi,TSM,Long
" May 30, 2017, 10:33 AM ",/article/4077364-amds-vega-matters,Why AMD's Vega Matters, Chris Lau,AMD,Long
" May 30, 2017, 10:28 AM ",/article/4077348-legal-losses-matter-gse-reform-direction-changes,Do Legal Losses Matter When GSE Reform Direction Changes?, Glen Bradford,"FNMA, FMCC",Long
" May 30, 2017, 10:28 AM ",/article/4077360-can-apple-end-wwdc-losing-streak,Can Apple End Its WWDC Losing Streak?, Bill Maurer,AAPL,Long
" May 30, 2017, 10:23 AM ",/article/4077358-centurylink-corvex-likes-stock,CenturyLink: Why Corvex Likes The Stock, Stone Fox Capital,CTL,Long
" May 30, 2017, 9:55 AM ",/article/4077347-22nd-century-harm-owning-stock,22nd Century: No Harm Owning This Stock, Stone Fox Capital,XXII,Long
" May 30, 2017, 9:37 AM ",/article/4077340-fortuna-silver-attractively-priced-fully-funded-lindero-construction,Fortuna Silver: Attractively Priced And Fully Funded For The Lindero Construction, The Investment Doctor,FSM,Long
" May 30, 2017, 9:29 AM ",/article/4077331-eli-lilly-compelling-risk-reward,Eli Lilly: Compelling Risk/Reward, HealthBlogger,LLY,Long
" May 30, 2017, 9:26 AM ",/article/4077329-microsofts-future-growth-will-come-azure-investors-missing-opportunity,"Microsoft's Future Growth Will Come From Azure, Investors Are Missing This Opportunity", Michael Wiggins De Oliveira,MSFT,Long
" May 30, 2017, 8:11 AM ",/article/4077324-tower-properties-valuable-real-estate-holdings,Tower Properties - Valuable Real Estate Holdings, Jan Svenda,TPRP,Long
" May 30, 2017, 7:50 AM ",/article/4077317-taxes-competition-wellness-trends-will-test-coca-colas-ability-grow,"Taxes, Competition And Wellness Trends Will Test Coca-Cola's Ability To Grow", Bull's Run,KO,Long
" May 30, 2017, 7:37 AM ",/article/4077312-sears-canada-right-track-though-late-matter,"Sears Canada Is On The Right Track, Though It's Too Late To Matter", Bank On Insight,SRSC,Long
" May 30, 2017, 7:15 AM ",/article/4077248-even-25-percent-pop-last-two-weeks-sina-seriously-undervalued,"Even After A 25% Pop In The Last Two Weeks, Sina Is Seriously Undervalued", Jay Somaney,SINA,Long
" May 30, 2017, 6:30 AM ",/article/4077249-pieris-doubling-much-upside-left-5-biotech,"Pieris: After Doubling, How Much Upside Left For This PIRS• May 30, 2017, 6:30 AM • Bret Jensen•27 Comments", Bret Jensen,PIRS,Long
" May 30, 2017, 6:00 AM ",/article/4077137-patterson-companies-short-term-pain-long-term-gain,Patterson Companies: Short-Term Pain For Long-Term Gain?, Willow Street Investments,PDCO,Long
" May 30, 2017, 5:45 AM ",/article/4077184-general-mills-yogurt-troubles-present-buying-opportunity,General Mills: Yogurt Troubles Present A Buying Opportunity, Willow Street Investments,GIS,Long
" May 30, 2017, 5:26 AM ",/article/4077294-retailer-keeps-growing,A Retailer That Keeps Growing, Jonathan Weber,COST,Long
" May 30, 2017, 5:21 AM ",/article/4077300-costco-make-way-portfolio,Here Is Why Costco Should Make Its Way Into Your Portfolio, Aisha Rahman,COST,Long
" May 30, 2017, 5:03 AM ",/article/4077290-general-motors-winning-battle,General Motors: Winning The Battle, Activist Stocks,GM,Long
" May 30, 2017, 5:03 AM ",/article/4077299-ubiquiti-networks-robust-product-pipeline-suggests-future-growth,Ubiquiti Networks' Robust Product Pipeline Suggests Future Growth, Grant Beaty,UBNT,Long
" May 30, 2017, 4:47 AM ",/article/4077297-shire-significantly-undervalued,Shire Is Significantly Undervalued, HealthBlogger,SHPG,Long
" May 30, 2017, 4:18 AM ",/article/4077285-firth-third-bancorp-2018-capital-return-brush-8-percent,Firth Third Bancorp: 2018 Capital Return Should Brush 8%, FIG Ideas,FITB,Long
" May 30, 2017, 3:50 AM ",/article/4077274-firstsolar-analyst-just-get,FirstSolar: This Analyst Just Doesn't Get It, Andy Wong,FSLR,Long
" May 30, 2017, 2:37 AM ",/article/4077270-general-electric-management-simply-confirmed-2-things-already-known,General Electric: Management Simply Confirmed 2 Things That We Should Have Already Known, WG Investment Research,GE,Long
" May 30, 2017, 1:55 AM ",/article/4077266-integra-lifesciences-2-recent-acquisitions-set-drive-substantial-upside,Integra LifeSciences: 2 Recent Acquisitions Set To Drive Substantial Upside, Michael Boyd,IART,Long
" May 30, 2017, 12:34 AM ",/article/4077264-crocs-underappreciated-business-recovery-setting-stage-price-rebound,Crocs: Underappreciated Business Recovery Is Setting The Stage For A Price Rebound, ALT Perspective,CROX,Long
" May 29, 2017, 11:42 PM ",/article/4077258-disney-may-exception-box-office-rules,Why Disney May Be The Exception To The Box Office Rules, The Entertainment Oracle,DIS,Long
" May 29, 2017, 10:58 PM ",/article/4077254-facebooks-gameroom-also-cater-hardcore-pc-gamers,Facebook's Gameroom Should Also Cater To Hardcore PC Gamers, Motek Moyen,FB,Long
 VAC,/article/4077240-vacation-ownership-reasons-bullish-industry,Vacation Ownership: Reasons To Be Bullish On The Industry," May 29, 2017, 8:21 PM ",Editors' Pick ,Long
" May 29, 2017, 7:51 PM ",/article/4077233-ulta-beauty-retailer,Ulta: A Beauty Of A Retailer, Jonathan Weber,ULTA,Long
" May 29, 2017, 7:31 PM ",/article/4077229-nike-just,Nike Just Does It, Aleksandar Vichev,NKE,Long
" May 29, 2017, 6:25 PM ",/article/4077225-vale-s-buying-opportunity,Vale S.A.: A Buying Opportunity, Sarfaraz A. Khan,VALE,Long
" May 29, 2017, 5:32 PM ",/article/4077223-exxon-mobil-make-s-and-ps-warning,Exxon Mobil: What To Make Of S&P's Warning, Sarfaraz A. Khan,XOM,Long
" May 29, 2017, 4:23 PM ",/article/4077220-hub-group-estenson-acquisition-looks-decent-shares-de-risked-levels,"Hub Group - Estenson Acquisition Looks Decent, Shares Are De-Risked At These Levels", The Value Investor,HUBG,Long
" May 29, 2017, 3:35 PM ",/article/4077217-mylan-generics-maker-part-bargain-bin,Mylan: Is This Generics Maker Part Of The Bargain Bin?, Long/Short Investments,MYL,Long
" May 29, 2017, 2:37 PM ",/article/4077204-schedule-canadian-banks-part-2-6-royal-bank-canada,Schedule I Canadian Banks - (Part 2 Of 6): Royal Bank Of Canada, Charles Fournier,RY,Long
" May 29, 2017, 2:30 PM ",/article/4077201-know-kinder-morgan,Do We Know Kinder Morgan?, Long Player,KMI,Long
" May 29, 2017, 2:20 PM ",/article/4077200-tyson-foods-chicken-cash,Tyson Foods - Chicken Cash, Wall Street for Main Street,TSN,Long
" May 29, 2017, 2:16 PM ",/article/4077195-netapp-enjoying-long-ride-pet-dinosaur,NetApp - Enjoying A Long Ride On A Pet Dinosaur, Bert Hochfeld,NTAP,Long
" May 29, 2017, 12:59 PM ",/article/4077188-visa-exception-rule,Visa Is The Exception To The Rule, Wealth Insights,V,Long
" May 29, 2017, 12:47 PM ",/article/4077183-qorvo-remains-top-semiconductor-pick,Here's Why Qorvo Remains A Top Semiconductor Pick, Joseph Mwangi,QRVO,Long
" May 29, 2017, 11:14 AM ",/article/4077171-let-leading-lithium-producer-recharge-portfolio,Let This Leading Lithium Producer Recharge Your Portfolio, Maltzberger,ALB,Long
" May 29, 2017, 10:10 AM ",/article/4077163-time-warner-licenses-dc-comics-superheroes-tencent,Time Warner Licenses DC Comics Superheroes To Tencent, Motek Moyen,TWX,Long
" May 29, 2017, 9:24 AM ",/article/4077017-bank-america-overcrowded-opportunities,Bank Of America - Overcrowded Opportunities, Leo Nelissen,BAC,Long
" May 29, 2017, 8:23 AM ",/article/4077155-seymour-schulich-gobbles-shares-birchcliff-energy,Seymour Schulich Gobbles Up More Shares Of Birchcliff Energy, Long Player,BIREF,Long
" May 29, 2017, 8:00 AM ",/article/4077141-play-yahoo-verizon-alibaba-altaba-drama-less-1000-options,"How To Play The Yahoo - Verizon - Alibaba - Altaba Drama For Less Than $1,000 With Options", Ryan Surber,AABA,Long
" May 29, 2017, 7:27 AM ",/article/4077140-electronic-arts-gets-galaxy-money-star-wars-mobile-game,Electronic Arts Gets A Galaxy Of Money From Its Star Wars Mobile Game, Motek Moyen,EA,Long
" May 29, 2017, 6:02 AM ",/article/4077127-retailer-fear-amazon,This Retailer Doesn't Fear Amazon, Samuel Smith,TSCO,Long
" May 29, 2017, 4:21 AM ",/article/4077115-laredo-petroleum-multiple-growth-avenues-leverage,Laredo Petroleum Has Multiple Growth Avenues With Leverage, Long Player,LPI,Long
" May 29, 2017, 3:12 AM ",/article/4077107-visa-payments-powerhouse-done-yet,Visa: This Payments Powerhouse Is Not Done Yet, Integrator,V,Long
" May 29, 2017, 3:03 AM ",/article/4077106-can-cimpress-dominate-mass-customization,Can Cimpress Dominate Mass Customization?, Prasanna Rajagopal,CMPR,Long
" May 29, 2017, 2:41 AM ",/article/4077104-skypeople-progressing-yet-trading-10-percent-intrinsic-value,"SkyPeople - Progressing, Yet Trading Under 10% Of Intrinsic Value", Mary Jane Fountain,FTFT,Long
" May 29, 2017, 1:58 AM ",/article/4077099-zynga-resurrects-mafia-wars-mobile,Zynga Resurrects Mafia Wars On Mobile, Motek Moyen,ZNGA,Long
" May 29, 2017, 1:36 AM ",/article/4077095-snap-stock-reach-24-q2-results,Snap Stock Could Reach $24 Before Q2 Results, Richard Saintvilus,SNAP,Long
" May 29, 2017, 1:26 AM ",/article/4077094-philip-morris-international-stay-invested-time-horizon-long-term-consider-selling-focus-short,Philip Morris International: Stay Invested If Your Time Horizon Is Long Term And Consider Selling If Your Focus Is Short-Term Gains, Donatas Taraile,PM,Long
" May 28, 2017, 11:09 PM ",/article/4077087-perfect-buying-opportunity-cisco,Perfect Buying Opportunity For Cisco, Searching For Value,CSCO,Long
" May 28, 2017, 11:09 PM ",/article/4077086-bladex-underfollowed-bank-opportunity,Bladex - An Underfollowed Bank With Opportunity, Caleb Jensema,BLX,Long
" May 28, 2017, 10:06 PM ",/article/4077084-facebook-stock-weakness,Facebook: A Stock That Has No Weakness, Robert Riesen,FB,Long
" May 28, 2017, 7:06 PM ",/article/4077078-amazons-head-start-alexa-echo-enough-distance-competition,"Is Amazon's Head Start With Alexa, Echo Enough To Distance Itself From Competition?", Gary Bourgeault,AMZN,Long
" May 28, 2017, 6:10 PM ",/article/4077075-cisco-40-per-share-possible,Cisco: $40 Per Share Is Possible, Richard Saintvilus,CSCO,Long
" May 28, 2017, 5:44 PM ",/article/4077073-take-two-strauss-zelnick-leadership-creates-new-opportunities-shareholders,Take-Two: Strauss Zelnick Leadership Creates New Opportunities For Shareholders, Viacheslav Makarenko,TTWO,Long
 HBAYF,/article/4077064-hudsons-bay-ready-thrive-retail-apocalypse,Hudson's Bay Is Ready To Thrive In A Retail Apocalypse," May 28, 2017, 3:25 PM ",Editors' Pick ,Long
" May 28, 2017, 3:08 PM ",/article/4077062-transocean-survival-likely-two-years,Transocean: Survival Likely For Two More Years, Dividend Income,RIG,Long
" May 28, 2017, 10:45 AM ",/article/4077052-costamare-sail-away-stock-now,Costamare: Sail Away With This Stock Now, The Knife Catcher,CMRE,Long
" May 28, 2017, 9:00 AM ",/article/4077023-merck-just-made-history-care-investor,So Merck Just Made History. Should You Care As An Investor?, Zach Hartman,MRK,Long
" May 28, 2017, 5:26 AM ",/article/4077039-hartstreet-llc-eog-may-apple-unconventional-oil-production-part-1,Hartstreet LLC: EOG May Be The Apple Of Unconventional Oil Production - Part 1, Michael Filloon,EOG,Long
 BMO,/article/4077038-schedule-canadian-banks-part-1-6-bank-montreal,Schedule I Canadian Banks - (Part 1 Of 6): Bank Of Montreal," May 28, 2017, 5:19 AM ",Editors' Pick ,Long
" May 28, 2017, 5:08 AM ",/article/4077037-jpmorgan-chase-moneys-bank-dimon,JPMorgan Chase: My Money's On The Bank Of Dimon, Buffett's Apprentice,JPM,Long
" May 28, 2017, 4:28 AM ",/article/4077032-dryships-still-cramming-equity-market,DryShips: Still Cramming Equity Into The Market, Morningsidepark,DRYS,Long
" May 28, 2017, 3:02 AM ",/article/4077028-blackberry-940-million-money-diversify-software-strategy,BlackBerry Has $940 Million More Money To Diversify Its Software Strategy, Motek Moyen,BB,Long
" May 27, 2017, 3:35 PM ",/article/4077003-acacia-mining-get-1b-discount-thanks-government-incompetence,Acacia Mining: Get A $1B Discount Thanks To Government Incompetence, The Investment Doctor,"ABGLF, ABGLY",Long
