,Authors,Link,Title,Strategy,Tickers,Date,Opening Price,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,Performance,Article Content
804, Daniel Jones,/article/4034953-major-news-chesapeake-energy-corp,Major News From Chesapeake Energy Corp.,Long,CHK,2017-01-03,6.92,6.87,7.01,6.68,6.46,6.38,6.33,6.08,5.62,5.35,5.33,5.18,5.16,5.92,6.23,5.69,5.38,5.31,5.55,5.57,5.73,5.1,4.89,5.06,4.99,4.67,5.12,4.66,4.85,4.66,4.96,4.35,4.07,3.82,3.65,3.7,3.63,4.05,4.37,4.35,4.19,3.82,3.61,3.84,4.18,4.15,3.87,3.81,3.95,3.83,3.69,4.0,6.92,1,
887, Marten Ariens,/article/4035055-worst-behind-chipotle-mexican-grill,Is The Worst Behind Chipotle Mexican Grill?,Long,CMG,2017-01-03,374.769989,395.059998,405.869995,407.720001,417.950012,395.589996,414.140015,432.359985,421.670013,411.679993,405.869995,396.369995,414.959991,452.75,454.279999,469.89001500000006,468.790009,477.579987,471.14999400000005,495.30999800000006,482.790009,475.700012,472.600006,461.549988,458.910004,413.98999,417.329987,407.549988,392.0,339.980011,343.769989,339.450012,322.399994,308.589996,312.019989,308.320007,305.140015,301.869995,320.829987,301.809998,303.920013,320.390015,320.450012,268.700012,275.769989,277.5,283.25,274.519989,315.600006,313.390015,313.420013,295.519989,374.769989,0,
890, Taylor Dart,/article/4036745-chipotle-burrito-bounce,Chipotle: Burrito Bounce?,Short,CMG,2017-01-09,395.059998,405.869995,407.720001,417.950012,395.589996,414.140015,432.359985,421.670013,411.679993,405.869995,396.369995,414.959991,452.75,454.279999,469.89001500000006,468.790009,477.579987,471.14999400000005,495.30999800000006,482.790009,475.700012,472.600006,461.549988,458.910004,413.98999,417.329987,407.549988,392.0,339.980011,343.769989,339.450012,322.399994,308.589996,312.019989,308.320007,305.140015,301.869995,320.829987,301.809998,303.920013,320.390015,320.450012,268.700012,275.769989,277.5,283.25,274.519989,315.600006,313.390015,313.420013,295.519989,374.769989,395.059998,0,
950, Activist Stocks,/article/4037689-disney-spinoff-catalyst,Disney: Spinoff Catalyst,Long,DIS,2017-01-17,107.970001,107.120003,110.940002,109.57,109.650002,110.010002,110.230003,110.669998,111.519997,112.709999,112.379997,113.199997,112.43,113.779999,113.699997,114.730003,111.419998,109.129997,107.629997,108.339996,106.519997,107.040001,105.370003,105.57,107.459999,103.589996,104.790001,107.0,109.93,106.349998,101.400002,101.169998,102.559998,101.599998,97.089996,98.099998,99.57,99.860001,99.57,98.129997,98.699997,98.040001,100.639999,104.739998,102.75,102.790001,110.220001,106.830002,111.029999,108.120003,106.080002,108.360001,107.970001,0,
959, Max Greve,/article/4056111-sign-espn-stabilizing-disneys-stock-must-fall,"No Sign ESPN Is Stabilizing, Disney's Stock Must Fall",Short,DIS,2017-03-13,111.519997,112.709999,112.379997,113.199997,112.43,113.779999,113.699997,114.730003,111.419998,109.129997,107.629997,108.339996,106.519997,107.040001,105.370003,105.57,107.459999,103.589996,104.790001,107.0,109.93,106.349998,101.400002,101.169998,102.559998,101.599998,97.089996,98.099998,99.57,99.860001,99.57,98.129997,98.699997,98.040001,100.639999,104.739998,102.75,102.790001,110.220001,106.830002,111.029999,108.120003,106.080002,108.360001,107.970001,107.120003,110.940002,109.57,109.650002,110.010002,110.230003,110.669998,111.519997,1,
1027, Bill Maurer,/article/4036159-dryships-massive-dilution-sound,DryShips: How Does Massive Dilution Sound?,Short,DRYS,2017-01-09,21403.20313,12700.80176,5291.990234000001,2410.795654,5497.790039,4645.191406,3214.394287,1832.59668,1283.797729,1734.596924,1352.397583,1371.997559,1313.197632,607.5988769999999,472.850311,320.950195,257.25015299999995,252.350159,155.750153,119.700119,95.200096,67.90007,65.10006700000001,41.650043,16.380016,7.210007000000001,6.440006,6.230006,1.67,1.08,1.3,3.35,3.31,3.09,1.99,2.49,2.54,2.32,2.76,3.25,3.22,3.83,4.3,4.49,3.97,4.15,4.12,4.23,4.07,3.74,3.36,28459.20508,21403.20313,1,
1028, Quad 7 Capital,/article/4037922-dryships-party-continues,DryShips: The Party Continues,Long,DRYS,2017-01-17,12700.80176,5291.990234000001,2410.795654,5497.790039,4645.191406,3214.394287,1832.59668,1283.797729,1734.596924,1352.397583,1371.997559,1313.197632,607.5988769999999,472.850311,320.950195,257.25015299999995,252.350159,155.750153,119.700119,95.200096,67.90007,65.10006700000001,41.650043,16.380016,7.210007000000001,6.440006,6.230006,1.67,1.08,1.3,3.35,3.31,3.09,1.99,2.49,2.54,2.32,2.76,3.25,3.22,3.83,4.3,4.49,3.97,4.15,4.12,4.23,4.07,3.74,3.36,28459.20508,21403.20313,12700.80176,1,
1119, Orange Peel Investments,/article/4034766-ford-december-china-important-u-s,Ford In December: Why China Is More Important Than The U.S.,Long,F,2017-01-03,12.59,12.63,12.61,12.31,12.37,12.52,12.56,12.69,12.66,12.52,12.54,12.28,11.46,11.44,11.25,11.28,11.43,11.42,11.13,10.94,11.1,11.08,11.25,11.28,11.24,11.18,11.56,11.34,11.74,11.29,11.22,10.92,10.91,10.57,10.79,11.36,11.41,11.63,11.94,12.09,12.34,12.12,12.04,12.1,12.33,12.16,12.13,12.11,12.63,12.58,12.66,12.6,12.59,1,
1132, Short Only,/article/4056114-short-ford,Short Ford,Short,F,2017-03-13,12.54,12.28,11.46,11.44,11.25,11.28,11.43,11.42,11.13,10.94,11.1,11.08,11.25,11.28,11.24,11.18,11.56,11.34,11.74,11.29,11.22,10.92,10.91,10.57,10.79,11.36,11.41,11.63,11.94,12.09,12.34,12.12,12.04,12.1,12.33,12.16,12.13,12.11,12.63,12.58,12.66,12.6,12.59,12.63,12.61,12.31,12.37,12.52,12.56,12.69,12.66,12.52,12.54,1,
1198," Brian Gilmartin, CFA",/article/4034961-facebook-enters-2017-low-expectations-maybe-low,Facebook Enters 2017 With Low Expectations - Maybe Too Low?,Long,FB,2017-01-03,116.860001,124.900002,127.870003,128.929993,130.979996,132.059998,134.050003,133.720001,136.410004,137.419998,139.600006,139.940002,140.320007,142.279999,141.03999299999995,141.419998,145.470001,152.46000700000005,151.059998,150.190002,148.240005,152.380005,153.630005,148.440002,152.869995,153.589996,148.429993,153.5,159.729996,166.0,169.25,171.979996,170.75,167.779999,167.240005,170.720001,173.509995,170.009995,162.869995,169.470001,172.5,174.520004,171.270004,179.869995,180.169998,178.770004,178.740005,183.029999,171.470001,179.03999299999995,180.820007,175.990005,116.860001,0,
1225, Allan Harris,/article/4054504-best-short-board-just-yet,The Best Short On The Board: But Just Not Yet,Short,FB,2017-03-13,139.600006,139.940002,140.320007,142.279999,141.03999299999995,141.419998,145.470001,152.46000700000005,151.059998,150.190002,148.240005,152.380005,153.630005,148.440002,152.869995,153.589996,148.429993,153.5,159.729996,166.0,169.25,171.979996,170.75,167.779999,167.240005,170.720001,173.509995,170.009995,162.869995,169.470001,172.5,174.520004,171.270004,179.869995,180.169998,178.770004,178.740005,183.029999,171.470001,179.03999299999995,180.820007,175.990005,116.860001,124.900002,127.870003,128.929993,130.979996,132.059998,134.050003,133.720001,136.410004,137.419998,139.600006,0,
1324, WG Investment Research,/article/4034707-general-electric-lose-sight-real-benefit-tax-reform,General Electric: Don't Lose Sight Of The Real Benefit Of Tax Reform,Long,GE,2017-01-03,31.690001,31.459999,31.27,29.75,29.959999,29.66,30.040001,30.52,29.940001,30.0,29.860001,29.74,29.440001,29.879999,30.01,29.639999,29.549999,28.940001,29.07,28.18,28.18,27.360001,27.98,28.940001,28.799999,27.610001,27.450001,26.040001,26.82,25.43,25.610001,25.629999,25.360001,24.49,24.469999,24.75,23.719999,24.459999,25.110001,24.57,23.43,23.360001,22.32,20.41,20.129999,19.02,17.98,18.120001,17.950001,17.65,17.76,17.43,31.690001,1,
1333, Paul Franke,/article/4050135-another-casualty-border-tax-overleverage-general-electric,Another Casualty Of The Border Tax And Overleverage - General Electric?,Short,GE,2017-02-27,29.940001,30.0,29.860001,29.74,29.440001,29.879999,30.01,29.639999,29.549999,28.940001,29.07,28.18,28.18,27.360001,27.98,28.940001,28.799999,27.610001,27.450001,26.040001,26.82,25.43,25.610001,25.629999,25.360001,24.49,24.469999,24.75,23.719999,24.459999,25.110001,24.57,23.43,23.360001,22.32,20.41,20.129999,19.02,17.98,18.120001,17.950001,17.65,17.76,17.43,31.690001,31.459999,31.27,29.75,29.959999,29.66,30.040001,30.52,29.940001,1,
1425, DoctoRx,/article/4034286-gilead-hires-head-heme-onc-incyte-play-smaller-prey,Gilead Hires A Head Of Heme-Onc: Is Incyte In Play? Smaller Prey?,Long,GILD,2017-01-03,74.160004,75.839996,71.910004,70.690002,71.510002,72.389999,67.650002,69.290001,70.5,70.120003,68.099998,68.709999,67.5,67.099998,66.41999799999999,66.699997,66.25,68.110001,67.209999,65.949997,64.360001,64.489998,65.480003,65.43,64.809998,71.239998,70.699997,69.290001,71.150002,74.389999,76.089996,73.440002,72.809998,72.599998,74.690002,82.559998,84.519997,82.970001,83.610001,83.519997,81.980003,79.949997,80.16999799999998,75.989998,72.379997,72.849998,72.129997,71.699997,73.089996,75.879997,75.129997,72.699997,74.160004,1,
1452, David Butler,/article/4066721-gilead-sciences-low-expectations,Gilead Sciences: Low Expectations,Short,GILD,2017-04-24,66.25,68.110001,67.209999,65.949997,64.360001,64.489998,65.480003,65.43,64.809998,71.239998,70.699997,69.290001,71.150002,74.389999,76.089996,73.440002,72.809998,72.599998,74.690002,82.559998,84.519997,82.970001,83.610001,83.519997,81.980003,79.949997,80.16999799999998,75.989998,72.379997,72.849998,72.129997,71.699997,73.089996,75.879997,75.129997,72.699997,74.160004,75.839996,71.910004,70.690002,71.510002,72.389999,67.650002,69.290001,70.5,70.120003,68.099998,68.709999,67.5,67.099998,66.41999799999999,66.699997,66.25,0,
1525, Wealth Insights,/article/4034428-general-motors-absolutely-killing-provides-opportunity-avoid-past-mistakes,"General Motors Is Absolutely Killing It, Which Provides An Opportunity To Avoid Past Mistakes",Long,GM,2017-01-03,35.150002,36.009998,37.310001,36.650002,36.330002,36.830002,35.52,37.810001,37.27,37.91,36.869999,35.709999,34.709999,34.169998,33.970001,33.900002,33.91,34.200001,33.970001,33.82,32.919998,33.529999,34.459999,34.68,34.349998,34.52,35.57,35.189999,36.380001,35.82,35.98,35.299999,35.470001,34.91,35.509998,37.23,37.349998,38.59,40.299999,42.150002,45.330002,45.759998,45.150002,43.369999,42.139999,43.57,44.880001,44.169998,43.049999,41.669998,42.150002,41.799999,35.150002,1,
1549, Nathan Hayes,/article/4073404-sell-gm-shares,Why Can't I Sell My GM Shares?,Short,GM,2017-05-15,33.82,32.919998,33.529999,34.459999,34.68,34.349998,34.52,35.57,35.189999,36.380001,35.82,35.98,35.299999,35.470001,34.91,35.509998,37.23,37.349998,38.59,40.299999,42.150002,45.330002,45.759998,45.150002,43.369999,42.139999,43.57,44.880001,44.169998,43.049999,41.669998,42.150002,41.799999,35.150002,36.009998,37.310001,36.650002,36.330002,36.830002,35.52,37.810001,37.27,37.91,36.869999,35.709999,34.709999,34.169998,33.970001,33.900002,33.91,34.200001,33.970001,33.82,0,
1589, Michael Wiggins De Oliveira,/article/4040099-herbalife-great-business-wonderful-price,Herbalife Is A Great Business At A Wonderful Price,Long,HLF,2017-01-23,53.16,55.689999,55.900002,59.959999,61.139999,57.189999,54.700001,53.669998,56.849998,57.150002,57.130001,58.959999,59.419998,60.98,63.389999,72.029999,72.650002,73.440002,71.16999799999998,68.989998,69.400002,73.029999,73.260002,71.730003,72.790001,73.25,69.129997,66.510002,66.849998,62.419998,68.040001,68.809998,68.970001,69.010002,67.489998,67.400002,67.639999,76.839996,78.760002,73.690002,72.290001,66.599998,64.849998,66.110001,69.050003,67.660004,69.809998,68.199997,70.589996,49.189999,49.529999,53.240002,53.16,0,
1590, Crispus Nyaga,/article/4045131-message-herbalife-shorts-stop-playing-fire,A Message To Herbalife Shorts: Stop Playing With Fire,Short,HLF,2017-02-06,55.900002,59.959999,61.139999,57.189999,54.700001,53.669998,56.849998,57.150002,57.130001,58.959999,59.419998,60.98,63.389999,72.029999,72.650002,73.440002,71.16999799999998,68.989998,69.400002,73.029999,73.260002,71.730003,72.790001,73.25,69.129997,66.510002,66.849998,62.419998,68.040001,68.809998,68.970001,69.010002,67.489998,67.400002,67.639999,76.839996,78.760002,73.690002,72.290001,66.599998,64.849998,66.110001,69.050003,67.660004,69.809998,68.199997,70.589996,49.189999,49.529999,53.240002,53.16,55.689999,55.900002,0,
1615, Alpha Max,/article/4034857-ibm-watson-growth-story-finally-unfolding,IBM Watson: The Growth Story Finally Unfolding,Long,IBM,2017-01-03,167.190002,167.649994,167.889999,171.029999,175.800003,175.860001,179.360001,180.259995,179.399994,180.470001,176.46000700000005,175.699997,173.770004,174.5,171.199997,171.100006,160.75,158.839996,153.029999,151.509995,152.639999,151.729996,152.410004,155.179993,154.839996,155.229996,155.580002,153.419998,153.009995,145.990005,144.669998,143.470001,142.320007,140.330002,142.509995,143.03999299999995,144.860001,144.550003,145.869995,146.660004,147.389999,146.830002,159.550003,154.360001,150.839996,148.399994,150.509995,151.979996,156.46000700000005,155.410004,153.330002,152.830002,167.190002,0,
