Authors,Date,Link,Tickers,Title,Strategy
 MainStreetTrading.net," Apr. 3, 2016, 9:29 PM ",/article/3962816-towne-bank-banking-growth-strategy,TOWN,Towne Bank: Banking On Growth And Strategy,Long
 Seattle Contributor," Apr. 3, 2016, 7:40 PM ",/article/3962808-blackberry-write-buy-stock,BB,"BlackBerry: Don't Write It Off, Buy The Stock",Long
 Siddharth Dalal," Apr. 3, 2016, 7:22 PM ",/article/3962809-tesla-model-3-existential-crisis-auto-industry,TSLA,Tesla Model 3: Existential Crisis For The Auto Industry,Long
" Apr. 3, 2016, 7:13 PM ", MSFT,/article/3962804-microsoft-ai-solves-famous-imaginary-pizza-ordering-problem,Editors' Pick ,Microsoft AI Solves The Famous Imaginary Pizza Ordering Problem,Long
" Apr. 3, 2016, 6:56 PM "," MU, SSNLF",/article/3962806-yodeling-hybrid-memory-cube,Editors' Pick ,Yodeling Into The Hybrid Memory Cube,Long
 Randy Carlson," Apr. 3, 2016, 4:13 PM ",/article/3962789-tesla-model-3-love-first-sight,TSLA,Tesla Model 3: Love At First Sight,Long
 Don Dion," Apr. 3, 2016, 3:35 PM ",/article/3962786-amazon-alibaba,AMZN,Amazon > Alibaba,Long
 Pierre Riffard," Apr. 3, 2016, 1:50 PM ",/article/3962781-huntington-ingalls-industries,HII,What About Huntington Ingalls Industries?,Long
 Aleksandr Sidorkin," Apr. 3, 2016, 11:02 AM ",/article/3962776-russian-telecoms-perspectives-ideas-2016,"VMPLY, VEON",Russian Telecoms: Perspectives And Ideas For 2016,Long
 West Coast Growth Picks," Apr. 3, 2016, 7:42 AM ",/article/3962758-tesla-model-3-china-problems-opportunities,TSLA,Tesla Model 3 In China: Problems And Opportunities,Long
 West Coast Growth Picks," Apr. 3, 2016, 5:11 AM ",/article/3962737-alaska-virgin-america-deal-big-win-american-airlines,AAL,An Alaska-Virgin America Deal Is A Big Win For American Airlines,Long
3 Comments, Filippo Iuliani,/article/3962732-sanity-check-long-amazon," Apr. 3, 2016, 4:40 AM ",Sanity Check For Those Long Amazon,Long
 William Stamm," Apr. 3, 2016, 3:37 AM ",/article/3962726-hormel-food-corporation-beef-total-return-growth-company,HRL,Hormel Food Corporation: Where's The Beef? A Total Return Growth Company,Long
 Alex Lucken," Apr. 3, 2016, 3:23 AM ",/article/3962724-hold-death-us-part-trina-solar,TSL,Hold Until Death Do Us Part: Trina Solar,Long
 The Value Portfolio," Apr. 3, 2016, 1:59 AM ",/article/3962715-total-s-higher-earning-oil-major-yielding-6-percent,TOT,Total S.A. - Higher Earning Oil Major Yielding 6%,Long
 Bull's Run," Apr. 3, 2016, 12:25 AM ",/article/3962711-kraft-heinz-initiatives-vs-valuation,KHC,Kraft Heinz - Initiatives Vs. Valuation,Long
 Detroit Bear," Apr. 3, 2016, 12:19 AM ",/article/3962710-buy-ford-stay-away-gm-2016-north-american-profit-growth,"F, GM","Buy Ford, Stay Away From GM For 2016 North American Profit Growth",Long
 Driscoll Consulting LLC," Apr. 2, 2016, 4:03 PM ",/article/3962690-teslas-unattractive-model-x-presents-continuing-financial-risk,TSLA,Tesla's Unattractive Model X Presents Continuing Financial Risk,Long
 Saidrasul Nasretdinov," Apr. 2, 2016, 3:43 PM ",/article/3962686-hca-holdings-healthcare-stock-big-promise,HCA,HCA Holdings: A Healthcare Stock With A Big Promise,Long
 Bruce Burnworth," Apr. 2, 2016, 3:24 PM ",/article/3962684-intel-cloud-day-helps-us-predict-stocks-direction,INTC,Intel: Cloud Day Helps Us Predict Stock's Direction,Long
 Chris Sewell," Apr. 2, 2016, 2:13 PM ",/article/3962679-kids-love-armour,UAA,Kids Love Under Armour,Long
 MainStreetTrading.net," Apr. 2, 2016, 11:23 AM ",/article/3962676-grupo-aeroportuario-del-centro-norte-mexican-airport-ready-takeoff,OMAB,Grupo Aeroportuario del Centro Norte: Mexican Airport Ready For Takeoff!,Long
 Individual Trader," Apr. 2, 2016, 11:04 AM ",/article/3962674-chevron-break-100-shortly,CVX,Chevron To Break Through $100 Shortly,Long
" Apr. 2, 2016, 9:52 AM ", DHX,/article/3962524-detailed-look-dhi-group-part-ii-25-percent-potential-upside-near-term-catalysts,Editors' Pick ,Detailed Look Into DHI Group Part II: 25% Potential Upside With Near-Term Catalysts,Long
" Apr. 2, 2016, 8:27 AM ", WDC,/article/3962496-western-digital-misunderstood-merger-significant-upside-limited-downside,Editors' Pick ,"Western Digital, Misunderstood Merger With Significant Upside And Limited Downside",Long
 Vince Martin," Apr. 2, 2016, 8:19 AM ",/article/3962495-still-bullish-perion-cautious,PERI,Still Bullish On Perion - But Cautious,Long
" Apr. 2, 2016, 7:30 AM ", NROM,/article/3962403-activism-noble-romans-free-dough,Editors' Pick ,Activism At Noble Roman's Could Free Up Some Dough,Long
 Alexander J Poulos," Apr. 1, 2016, 9:44 PM ",/article/3962645-regeneron-pharmaceuticals-top-pick-biotech-space,REGN,Regeneron Pharmaceuticals Is My Top Pick In The Biotech Space,Long
 Ben Kramer-Miller," Apr. 1, 2016, 7:58 PM ",/article/3962643-substantial-upside-santacruz-silver-mining,SZSMF,Substantial Upside In Santacruz Silver Mining,Long
 Mario Rodriguez," Apr. 1, 2016, 6:17 PM ",/article/3962636-investment-need,"BRK.A, BRK.B",The Only Investment You Need!,Long
 JSG_DRIP," Apr. 1, 2016, 5:58 PM ",/article/3962632-mid-con-energy-partners-best-upstream-e-and-p-company-never-heard,MCEP,Mid-Con Energy Partners - The Best Upstream E&P Company You've Never Heard Of,Long
" Apr. 1, 2016, 5:45 PM ", TSLA,/article/3962630-teslas-model-3-event,Editors' Pick ,Tesla's Model 3 Event: I Was There,Long
 Mingran Wang," Apr. 1, 2016, 4:54 PM ",/article/3962624-tesla-model-3-reveal-good-bad,TSLA,Tesla Model 3 Reveal: The Good And The Bad,Long
" Apr. 1, 2016, 4:10 PM ", AMZN,/article/3962601-amazon-web-services-many-dents-armor,Editors' Pick ,Amazon Web Services: Not Many Dents In That Armor,Long
 Kenra Investors," Apr. 1, 2016, 3:48 PM ",/article/3962605-gilead-price-reductions-big-deal,GILD,Gilead Price Reductions No Big Deal,Long
" Apr. 1, 2016, 3:47 PM ", PLD,/article/3962376-prologis-logistics-opportunity,Editors' Pick ,Prologis: The Logistics Opportunity,Long
 Doug Young," Apr. 1, 2016, 3:42 PM ",/article/3962617-google-advances-china-alphago-play,"GOOG, GOOGL",Google Advances In China On AlphaGo Play,Long
 Arie Goren," Apr. 1, 2016, 3:21 PM ",/article/3962606-best-large-cap-stocks-portfolio-consider-broadcom,AVGO,My Best Large Cap Stocks Portfolio: Consider Broadcom,Long
 Cory Cramer," Apr. 1, 2016, 2:49 PM ",/article/3962592-cyclical-strategy-says-buy-fmc,FMC,Cyclical Strategy Says Buy FMC,Long
 Andre Jenanji," Apr. 1, 2016, 2:34 PM ",/article/3962597-senvest-capital-time-buy-now,SVCTF,Senvest Capital - The Time To Buy Is Now,Long
" Apr. 1, 2016, 2:11 PM ", REGN,/article/3962585-regenerons-dupilumab-news-solid-home-run,Editors' Pick ,Regeneron's Dupilumab News A Solid Home Run,Long
 Erik Bergseng," Apr. 1, 2016, 2:10 PM ",/article/3962584-apple-grossly-mispriced,AAPL,Apple Is Grossly Mispriced,Long
 Valuentum," Apr. 1, 2016, 1:34 PM ",/article/3962583-fedex-well-positioned-capture-demand,FDX,FedEx Well-Positioned To Capture Demand,Long
 Northern Capital," Apr. 1, 2016, 1:30 PM ",/article/3962571-put-knight-therapeutics-watchlist,KHTRF,Put Knight Therapeutics On Your Watchlist,Long
 Reuben Gregg Brewer," Apr. 1, 2016, 1:23 PM ",/article/3962568-ibm-shows-watson-can,IBM,IBM Shows Me What Watson Can Do,Long
 Long Term Growth Investor," Apr. 1, 2016, 1:10 PM ",/article/3962561-amazon-com-third-party-sellers-drive-profitability,AMZN,Amazon.com: Third-Party Sellers Drive Profitability,Long
 Adelphi Venture Capital," Apr. 1, 2016, 12:19 PM ",/article/3962556-expedia-great-buy-hold-investment-growing-industry,EXPE,Expedia Is A Great Buy-And-Hold Investment In A Growing Industry,Long
 Dana Blankenhorn," Apr. 1, 2016, 11:19 AM ",/article/3962541-fitbits-rise-stirs-takeout-speculation,FIT,Fitbit's Rise Stirs Takeout Speculation,Long
 Christian Lamarco," Apr. 1, 2016, 10:54 AM ",/article/3962283-tempur-sealy-high-quality-business-understated-fcf-generation-ability-attractive-risk-reward,TPX,"Tempur Sealy: High Quality Business, Understated FCF Generation Ability; Attractive Risk-Reward",Long
 Bram de Haas," Apr. 1, 2016, 10:39 AM ",/article/3962530-google-adwords-redesign-beats-self-driving-cars,"GOOG, GOOGL",Google: AdWords Redesign Beats Self Driving Cars,Long
 Richard Gordon," Apr. 1, 2016, 10:28 AM ",/article/3962526-tesla-model-3-reveal-results,TSLA,Tesla Model 3 Reveal: The Results,Long
 The Value Investor," Apr. 1, 2016, 10:24 AM ",/article/3962525-h-and-r-blocks-focused-business-warrants-higher-valuation,HRB,H&R Block's Focused Business Warrants Higher Valuation,Long
 IP Banking Research," Apr. 1, 2016, 10:09 AM ",/article/3962520-impact-fx-movements-citigroup,C,The Impact Of FX Movements On Citigroup,Long
 Canadian Dividend Growth Investor," Apr. 1, 2016, 10:09 AM ",/article/3962519-canadian-national-railway-play,CNI,Canadian National Railway Play,Long
 Darspal S Mann," Apr. 1, 2016, 9:55 AM ",/article/3962265-sapiens-forgotten-beneficiary-increased-tech-spending-insurance-companies,SPNS,Sapiens: Forgotten Beneficiary Of Increased Tech Spending By Insurance Companies,Long
 Caiman Valores," Apr. 1, 2016, 9:16 AM ",/article/3962503-let-fear-deter-buying-westpac-banking-corporation-6-percent-yield,WBK,Don't Let Fear Deter You From Buying Westpac Banking Corporation And Its 6% Yield,Long
 Albert Zeng," Apr. 1, 2016, 9:11 AM ",/article/3962500-go-long-express-scripts,ESRX,Go Long On Express Scripts,Long
 Bear Necessities," Apr. 1, 2016, 9:07 AM ",/article/3962510-amaya-trading-less-half-real-value,TSG,Amaya Is Trading At Less Than Half Its Real Value,Long
 Vince Martin," Apr. 1, 2016, 8:58 AM ",/article/3962250-vince-holding-turnaround-just-begun,VNCE,Vince Holding: The Turnaround Has Just Begun,Long
 Investor Initiatives," Apr. 1, 2016, 8:43 AM ",/article/3962493-inovio-pharmaceuticals-will-next-great-biotech-generation-will-tell,INO,"Inovio Pharmaceuticals Will Be The Next Great Biotech Of Our Generation, And I Will Tell You Why",Long
 PLM Investments," Apr. 1, 2016, 8:25 AM ",/article/3962490-emispheres-first-big-payday-may-come-soon,EMIS,Emisphere's First Big Payday May Come Soon,Long
 Mark Biwojno," Apr. 1, 2016, 7:50 AM ",/article/3962488-lipocine-first-market-oral-testosterone-pill,LPCN,Lipocine: The First To Market Oral Testosterone Pill?,Long
 Long Player," Apr. 1, 2016, 5:33 AM ",/article/3962470-laboratory-corporation-america-easy-earnings-comparisons-ahead,LH,Laboratory Corporation Of America Has Easy Earnings Comparisons Ahead,Long
 Pierre Gouesclou," Apr. 1, 2016, 4:44 AM ",/article/3962466-expected-growth-luminex,LMNX,The Expected Growth Of Luminex,Long
 The Investment Doctor," Apr. 1, 2016, 4:37 AM ",/article/3962465-randstad-metamorphosis,"RANJF, RANJY",Randstad: What A Metamorphosis,Long
 Cabot," Apr. 1, 2016, 1:53 AM ",/article/3962454-opportunities-steel-stocks-steel-dynamics,STLD,Opportunities In Steel Stocks? Steel Dynamics,Long
 Dividend Drive," Apr. 1, 2016, 12:00 AM ",/article/3962443-pz-cussons-nigerian-opportunity-part-1-nigeria-important-understanding-small-consumer-goods,PZCUY,PZ Cussons And The Nigerian Opportunity (Part 1): Why Nigeria Is Important In Understanding This Small Consumer Goods Play,Long
 Action Investor," Mar. 31, 2016, 11:42 PM ",/article/3962433-sound-long-investment-plantronics,PLT,A Sound Long Investment - Plantronics,Long
 Tradevestor," Mar. 31, 2016, 10:37 PM ",/article/3962429-microsoft-waxing-cloud,MSFT,Microsoft: Waxing Cloud,Long
 Christiaan van der Meer," Mar. 31, 2016, 8:57 PM ",/article/3962418-can-google-cloud-platform-become-driver-alphabet-stock,"GOOG, GOOGL",Can Google Cloud Platform Become The Driver Of Alphabet Stock?,Long
 Christopher Fisher," Mar. 31, 2016, 7:20 PM ",/article/3962414-bankers-petroleum-acquired-less-risk-priced,BNKJF,Bankers Petroleum Being Acquired - Less Risk Than Priced In,Long
 Will Nussman," Mar. 31, 2016, 5:40 PM ",/article/3962402-nvidia-fundamental-dcf-analysis,NVDA,Nvidia: Fundamental And DCF Analysis,Long
 Alpha Investor," Mar. 31, 2016, 4:49 PM ",/article/3962398-bp-set-upside,BP,Is BP Set For More Upside?,Long
 Martin Keck," Mar. 31, 2016, 4:28 PM ",/article/3962381-nano-cap-bremen-bancorp-acquired-undisclosed-sum-cash-trades-reasonable-take-price,BBIM,Nano-Cap Bremen Bancorp To Be Acquired For Undisclosed Sum In Cash Trades Below Reasonable Take-Over Price,Long
 Eric Schwer," Mar. 31, 2016, 4:23 PM ",/article/3962378-consider-amerigas-compelling-holding-propane-industry,APU,"Consider AmeriGas, A Compelling Holding In The Propane Industry",Long
 Stone Fox Capital," Mar. 31, 2016, 4:15 PM ",/article/3962392-twitter-time-watched-metric-surges,TWTR,Twitter: 'Time Watched' Metric Surges,Long
 Entertainment Insight," Mar. 31, 2016, 3:49 PM ",/article/3962360-toyota-cradle-innovation-automotive-industry,TM,Toyota: The Cradle Of Innovation In The Automotive Industry,Long
 Kevin Fulmer," Mar. 31, 2016, 3:38 PM ",/article/3962373-nike-just-getting-started-china,NKE,Nike Is Just Getting Started In China,Long
 Valuentum," Mar. 31, 2016, 3:38 PM ",/article/3962372-deere-plows-ahead-weak-ag-market,DE,Deere Plows Ahead In Weak Ag Market,Long
 Early Retiree," Mar. 31, 2016, 3:33 PM ",/article/3962079-keryx-underestimate-ida-potential,KERX,Keryx: Don't Underestimate The IDA Potential,Long
 Nick Cox," Mar. 31, 2016, 3:29 PM ",/article/3962357-virtual-reality-give-boost-sony-2016minus-17,SNE,Virtual Reality To Give Further Boost To Sony In 2016-17,Long
 The Small-Cap Authority," Mar. 31, 2016, 3:29 PM ",/article/3962365-hutchinson-technology-clearing-misunderstanding-industry-competitors,HTCH,Hutchinson Technology: Clearing Up A Misunderstanding On Industry Competitors,Long
 Quad 7 Capital," Mar. 31, 2016, 3:24 PM ",/article/3962355-plug-power-overdue,PLUG,Plug Power: It Was Overdue,Long
 Venkat Subramaniam," Mar. 31, 2016, 2:59 PM ",/article/3962345-emc-dell-merger-along-vmware-provides-arbitrage-opportunities,"DVMT, VMW",EMC-Dell Merger (Along With VMware) Provides Arbitrage Opportunities,Long
 Marel.," Mar. 31, 2016, 2:38 PM ",/article/3962340-tsakos-energy-navigation-double-value,TNP,Tsakos Energy Navigation Could Double In Value,Long
 Quad 7 Capital," Mar. 31, 2016, 2:24 PM ",/article/3962335-silver-wheaton-weird,WPM,Silver Wheaton: That's Weird,Long
 Shudeep Chandrasekhar," Mar. 31, 2016, 2:23 PM ",/article/3962344-shorting-facebook-now-right-strategy,FB,Why Shorting Facebook Now Is Not The Right Strategy,Long
 Lipper Alpha Insight," Mar. 31, 2016, 2:15 PM ",/article/3962341-lululemon-athletica-strong-mission-can-overcome-adversity,LULU,Lululemon Athletica: A Strong Mission Can Overcome Adversity,Long
" Mar. 31, 2016, 2:07 PM "," BMO, BNS, CM",/article/3962339-good-time-buy-big-5-canadian-bank-stocks,Editors' Pick ,A Good Time To Buy The 'Big 5' Canadian Bank Stocks,Long
 Alpha Max," Mar. 31, 2016, 1:58 PM ",/article/3962336-revisiting-qualcomms-datacenter-initiative,QCOM,Revisiting Qualcomm's Datacenter Initiative,Long
 IP Banking Research," Mar. 31, 2016, 1:50 PM ",/article/3962330-bank-america-citigroup-better-investment-part-capital,"BAC, C",Bank Of America And Citigroup: Which Is The Better Investment? (Part I: Capital),Long
 Peter Arendas," Mar. 31, 2016, 1:19 PM ",/article/3962310-pretium-resources-will-catch-miners,PVG,Pretium Resources Will Catch Up To Other Miners,Long
 Do Diligence," Mar. 31, 2016, 1:16 PM ",/article/3962308-cellceutix-still-flying-radar-innovative-biotech-tremendous-upside-potential,IPIX,Cellceutix: Still Flying Under The Radar--An Innovative Biotech With Tremendous Upside Potential,Long
 Mark Hibben," Mar. 31, 2016, 12:57 PM ",/article/3962312-apple-help-foxconn-buy-sharp,AAPL,Did Apple Help Foxconn Buy Sharp?,Long
 Suman Chatterjee," Mar. 31, 2016, 11:55 AM ",/article/3962298-5-reasons-southwest-airlines-strong-buy,"AAL, DAL, JBLU",5 Reasons Why Southwest Airlines Is A Strong Buy,Long
 Dana Blankenhorn," Mar. 31, 2016, 11:27 AM ",/article/3962284-microsoft-going-voice,MSFT,Microsoft: Going All-In With Voice,Long
 Quad 7 Capital," Mar. 31, 2016, 11:20 AM ",/article/3962282-sandstorm-2016-new-dawn,SAND,Sandstorm: 2016 A New Dawn,Long
 Josh Arnold," Mar. 31, 2016, 11:08 AM ",/article/3962277-restoration-hardwares-story-still-intact-despite-near-term-headwinds,RH,Restoration Hardware's Story Is Still Intact Despite Near-Term Headwinds,Long
 The Entertainment Oracle," Mar. 31, 2016, 11:02 AM ",/article/3962276-amazons-recent-advantage-netflix,AMZN,Amazon's Recent Advantage Over Netflix,Long
" Mar. 31, 2016, 10:44 AM ", RDCM,/article/3962280-radcoms-18-million-cash-collection-presage-q1-blowout,Editors' Pick ,Does Radcom's $18 Million Cash Collection Presage Q1 Blowout?,Long
 Caitlin Rieger," Mar. 31, 2016, 10:43 AM ",/article/3962279-oracle-corporation-better-days-ahead,ORCL,Oracle Corporation: Better Days Ahead,Long
 Out of Ignorance," Mar. 31, 2016, 10:36 AM ",/article/3962271-disneys-character-driven-ecosystem-will-reverse-recent-lull-start-disney-moving-back-new,DIS,Disney's Character-Driven Ecosystem Will Reverse Its Recent Lull And Start Disney Moving Back To New Highs,Long
 David Trainer," Mar. 31, 2016, 10:26 AM ",/article/3962274-boost-american-express-value-50-billion,AXP,How To Boost American Express Value By $50 Billion,Long
 Andrew Gracey," Mar. 31, 2016, 9:52 AM ",/article/3962263-progress-software-lowers-guidance,PRGS,Progress Software Lowers Guidance,Long
 Samreen Agha," Mar. 31, 2016, 9:40 AM ",/article/3962253-organovo-slow-steady-wins-race,ONVO,Organovo: Slow And Steady Wins The Race,Long
 Adelphi Venture Capital," Mar. 31, 2016, 8:51 AM ",/article/3962248-carnival-corporation-can-profit-growth-chinese-tourism,CCL,Carnival Corporation Can Profit From The Growth Of Chinese Tourism,Long
 Dana Blankenhorn," Mar. 31, 2016, 8:46 AM ",/article/3962234-shedding-light-sunedison-crash,SUNEQ,Shedding Some Light On The SunEdison Crash,Long
 Adelphi Venture Capital," Mar. 31, 2016, 8:43 AM ",/article/3962245-lululemon-can-keep-soaring-year,LULU,Lululemon Can Keep On Soaring This Year,Long
 Collective Investment Co.," Mar. 31, 2016, 8:41 AM ",/article/3962244-wrong-buy-tiffany-and-co,TIF,We Were Wrong Not To Buy Tiffany & Co.,Long
 Brian Nichols," Mar. 31, 2016, 8:34 AM ",/article/3962232-happened-acadia-pharmaceuticals,ACAD,What Happened To Acadia Pharmaceuticals?,Long
 Josh Arnold," Mar. 31, 2016, 8:24 AM ",/article/3962229-american-eagles-turnaround-continues,AEO,American Eagle's Turnaround Continues,Long
 Alpha Investor," Mar. 31, 2016, 7:31 AM ",/article/3962219-plug-power-rally-will-continue,PLUG,Plug Power: The Rally Will Continue,Long
 Kal Telage," Mar. 31, 2016, 6:30 AM ",/article/3962162-tesla-motors-35000-model-3-30-billion-question,TSLA,"Tesla Motors' $35,000 Model 3: A $30 Billion Question",Long
 Darspal S Mann," Mar. 31, 2016, 6:00 AM ",/article/3961799-national-research-ignorance-way-treat-business,"NRCIB, NRCIA",National Research: Ignorance Is Not The Way To Treat The Business,Long
 The Value Portfolio," Mar. 31, 2016, 4:56 AM ",/article/3962198-kinder-morgan-shareholders-shareholders,KMI,"Kinder Morgan - By The Shareholders, For The Shareholders",Long
 West Coast Growth Picks," Mar. 31, 2016, 4:33 AM ",/article/3962194-3rd-possibility-virgin-america-one-talking,VA,The 3rd Possibility For Virgin America That No One Is Talking About,Long
 Adrian Day," Mar. 31, 2016, 4:28 AM ",/article/3962185-reservoir-minerals-put-play-lundin-offer,RVRLF,Reservoir Minerals Put In Play By Lundin Offer,Long
 Quinn Foley," Mar. 31, 2016, 4:10 AM ",/article/3962187-long-term-investors-consider-abbott-laboratories,ABT,Why Long-Term Investors Should Consider Abbott Laboratories,Long
 Alex Lucken," Mar. 31, 2016, 2:14 AM ",/article/3962172-hold-till-death-us-part-raytheon,RTN,Hold Till Death Do Us Part: Raytheon,Long
 David Alton Clark," Mar. 31, 2016, 1:30 AM ",/article/3962114-general-electric-major-buy-signal-just-flashed,GE,General Electric: A Major Buy Signal Just Flashed,Long
 Better Investor Co.," Mar. 31, 2016, 12:24 AM ",/article/3962163-fiat-chrysler-super-cheap-investors-buy-company,FCAU,Fiat Chrysler Is Super Cheap: Here's Why Investors Should Buy The Company,Long
 Markos Kaminis," Mar. 31, 2016, 12:00 AM ",/article/3962154-bank-america-big-bad-fed,BAC,Bank Of America And The Big Bad Fed,Long
 Bull & Bear Trading," Mar. 30, 2016, 8:18 PM ",/article/3962126-fitbits-blaze-indeed-cleaning-clock-apples-watch-marketplace,FIT,Fitbit's Blaze Is Indeed Cleaning The Clock Of Apple's Watch In The Marketplace,Long
 ONeil Trader," Mar. 30, 2016, 5:15 PM ",/article/3962106-market-neglecting-supernus-pipeline,SUPN,The Market Is Neglecting Supernus' Pipeline,Long
 Bert Hochfeld," Mar. 30, 2016, 4:58 PM ",/article/3962099-arista-technology-management-winning-combination-cloud-data-centers,ANET,"Arista: Technology And Management, A Winning Combination In Cloud Data Centers",Long
 Pierre Riffard," Mar. 30, 2016, 4:55 PM ",/article/3962095-lockheed-martins-huge-potential,LMT,Lockheed Martin's Huge Potential,Long
